[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[IEEE] 2026-9-22 | A Resource-Aware Selectively Agentic Framework for A-Share Trading
[IEEE] 2026-9-22 | A False Sense of Privacy: Evaluating Textual Data Sanitization Beyond Surface-level Privacy Leakage
[IEEE] 2026-9-22 | Time-Resolved Analysis of the Influence of Sound Design Effects on Behavioral Kinematics in Virtual Reality
[IEEE] 2026-9-22 | Active Shielding for Magnetic Field Mitigation in Automotive Wireless Charging Based on Coil Position Estimation
[IEEE] 2026-9-22 | MDFPF-Net: Multi-Domain Feature Perceptual Fusion Network for Hyperspectral Unmixing_supp1-3735828.pdf
[IEEE] 2026-9-22 | Prediction of Armor-piercing Power of Flat-top Shaped Charge Liner Based on Deep Learning
[IEEE] 2026-9-22 | Tunable and Flexible Metamaterial for Enhancing Wireless Power Transfer Efficiency for Implantable Medical Devices
[IEEE] 2026-9-22 | HealthFed: A Cluster-Based Multimodal Federated Learning Framework for Heart Disease Prediction
[IEEE] 2026-9-22 | How Reliable are Automated Jailbreak Evaluators? A Study of Human-Machine Agreement in Cybersecurity Multi-Turn LLM Attacks
[IEEE] 2026-9-22 | Training Set Reconstruction from Differentially Private Forests: How Effective is DP?
[IEEE] 2026-9-22 | Related-Party Transaction Fraud Detection with Data-Governance-Enhanced Graph Neural Networks
[IEEE] 2026-9-22 | CTAP-Net: A Multi-Head Self-Attention-Based Multi-Task Framework for BLDC Motor Fault Diagnosis and RUL Prediction
[IEEE] 2026-9-22 | Post-Quantum Cryptography Algorithms for Cyber Attack Prevention
[IEEE] 2026-9-22 | Predictive Scheduling Optimization for Regional Integrated Energy Systems Considering Load Stochasticity
[IEEE] 2026-9-22 | Small Signal Stability Analysis of VSC-HVDC Based on Impedance Model
[IEEE] 2026-9-22 | Correlation-Based Leakage Screening is Insufficient for IoT/IIoT Intrusion-Detection Benchmarks: Evidence of Redundant Shortcut Encoding in Edge-IIoTset
[IEEE] 2026-9-22 | User-Controllable Workload Trace Synthesis Scheme for Power-Computing Simulation of Data Centers
[IEEE] 2026-9-22 | Coordinated Optimal Scheduling for Active Distribution Networks and 5G Base Station-Integrated Microgrids: A Distributed Interaction Approach
[IEEE] 2026-9-22 | Fetal Health Classification Using SGO-MEFS Based Feature Selection
[IEEE] 2026-9-22 | IEEE Industry Applications Society Information
[IEEE] 2026-9-22 | MDFPF-Net: Multi-Domain Feature Perceptual Fusion Network for Hyperspectral Unmixing
[IEEE] 2026-9-22 | Auditable Inference from Embedded PV Telemetry to Field Energy and Economic Outcomes
[IEEE] 2026-9-22 | Machine Learning-Based SNR Estimation for 5G X-Band Links: An Optimized Support Vector Regression Model
[IEEE] 2026-9-22 | Continuous-Time Robust Distributed Scheduling of Integrated Energy Systems With Wind Power Uncertainty
[IEEE] 2026-9-22 | GeoMF: A Geographic Context-Aware Multimodal Framework for Fine-Grained Ship Classification
[IEEE] 2026-9-22 | Interpretable Intelligent Fault Diagnosis for Elevators Based on Wavelet Scattering Transform Convolutional Neural Network
[IEEE] 2026-9-22 | Deterministic Supervisory Control Framework for Hybrid-Electric Aircraft Propulsion Systems
[IEEE] 2026-9-22 | Stackelberg Game Optimal Scheduling of Integrated Energy System in Market Environment Considering EV Aggregation Participating in Real-Time Electricity Price Mechanism
[IEEE] 2026-9-22 | Differentiable Brain Network Feature Selection for Multi-center Schizophrenia Diagnosis
[IEEE] 2026-9-22 | ASSS: A Differentiable Adversarial Framework for Task-Aware Data Reduction
[IEEE] 2026-9-22 | A Blockchain-Based Identity Management System Resistant to Ransomware
[IEEE] 2026-9-22 | Odor Source Localization System Inspired by Odor Information Processing of an Insect_supp3-3735894.mp4
[IEEE] 2026-9-22 | Road-Structure-Guided Sampling-Controlled Trajectory Aggregation for Road Extraction from High-Resolution Remote Sensing Imagery
[IEEE] 2026-9-22 | A Context-Aware and Adaptive Attention YOLO Model for Surface Crack Detection
[IEEE] 2026-9-22 | IEEE Transactions on Sustainable Energy Information for Authors
[IEEE] 2026-9-22 | Accuracy–Efficiency Trade-offs in Lightweight Deepfake Detection Models: CNN and Transformer Benchmarks on Raspberry Pi 5
[IEEE] 2026-9-22 | A Learning Analytics Infrastructure for Studying Calibrated AI Assistance in Data Science Problem Framing
[IEEE] 2026-9-22 | A Feedforward Control Method for Multi-Degree-of-Freedom Turntable Servo System Based on Physics-Guided Temporal Convolutional Network Model
[IEEE] 2026-9-22 | Coordinated Control Strategy for Distributed PV Integrated into Continuous Co-Phase Traction Power Supply System
[IEEE] 2026-9-22 | Intelligent Spectrum-Energy Co-Optimization in Space-Air-Ground Integrated 6G Networks
[IEEE] 2026-9-22 | A Dead-Time Optimization Strategy for Buck-Boost+LLC Integrated Topology
[IEEE] 2026-9-22 | Odor Source Localization System Inspired by Odor Information Processing of an Insect_supp1-3735894.pdf
[IEEE] 2026-9-22 | Community Detection and Benefit Allocation Method for Integrated Energy Systems Based on Game Theory
[IEEE] 2026-9-22 | Research on Negative-Sequence Voltage Suppression in Distribution Networks Based on Magnetically Controlled Switch Stepped Compensation
[IEEE] 2026-9-22 | TimeAgent: A Training-Free LLM Agent for Time Series Foundation Models
[IEEE] 2026-9-22 | A Multilayer Perceptron-Based Method for Predicting the Maximum Temperature of IGBTs Under Small-Sample Conditions
[IEEE] 2026-9-22 | An IIoT-Enabled Multi-Order Graph Hierarchical Local-Global Network for Bearing Remaining Useful Life Prediction
[IEEE] 2026-9-22 | Music-induced Emotion Oscillation Modeling
[IEEE] 2026-9-22 | Distributed Pseudolinear Information Filtering Approach with Multisource Measurements for Heterogeneous Sensor Networks
[IEEE] 2026-9-22 | Price Sensitivity Analysis of Adjustable Resources in Multi-Energy Flexible Systems of Public Buildings
[IEEE] 2026-9-22 | Oblivious Exact (Un)Learning of Extremely Randomized Trees
[IEEE] 2026-9-22 | Hybrid Random–Directional RIS Phase Profile Design for Multi-Layer TN/NTN Positioning
[IEEE] 2026-9-22 | SoK: The Hitchhiker’s Guide to Efficient, End-to-End, and Tight DP Auditing
[IEEE] 2026-9-22 | Spaceborne Ultra-High-Resolution Sliding Spotlight SAR Imaging Algorithm Based on United Azimuth Time-Frequency Polynomial Compensation
[IEEE] 2026-9-22 | Privacy-Preserving Synthetic Data Generation in Healthcare
[IEEE] 2026-9-22 | UrbanRAMF: Confidence-Guided Feature Interaction for Fine-Grained Urban Flow Inference From Incomplete Sensing Data
[IEEE] 2026-9-22 | Two-Stage Low-Carbon Optimal Operation for Distribution-Microgrid Systems Considering Flexible Microgrid Grouping
[IEEE] 2026-9-22 | Optimal Scheduling of Combined Heat and Power System Considering Renewable Energy Uncertainty: An Improved A3C Algorithm
[IEEE] 2026-9-22 | Exploring the Muscle-Tendon Biomechanics and Load Mitigation of a Passive Shoulder Exoskeleton During Overhead Work
[IEEE] 2026-9-22 | Distributed Multimodal UAV Sensing and State Prediction in ISAC Networks
[IEEE] 2026-9-22 | HiS-CIM: A 72.65-TOPS/W Hetero-CIM-Based LLM Accelerator Exploiting Hierarchical Weight Compression and Multi-Granular Sparsity
[IEEE] 2026-9-22 | CryptoFormer: Multi-Currency Traffic Classification Via Two-Stage Transformer Architecture
[IEEE] 2026-9-22 | Optimization of Adjustable Resource Scheduling for Flexible Ramping in Power Systems
[IEEE] 2026-9-22 | A Dual-Roofline Runtime Model for Capacity Planning in Shared-Backend LLM Multi-Agent Social Simulation: A Case Study of AgentSociety
[IEEE] 2026-9-22 | GNSS-based Real-Time Onboard Orbit Determination for Agile Satellites
[IEEE] 2026-9-22 | Research on a MOSFET-Based Fully Controlled DC Circuit Breaker and Smooth Commutation Strategy
[IEEE] 2026-9-22 | Characterizing, Modeling, and Mitigating Radiation-Induced Noise on Event-Based Vision Sensors for Space Applications
[IEEE] 2026-9-22 | An Energy Efficient Unipolar Buck Assisted Linear Amplifier Drive System with Optimized Envelope Generation
[IEEE] 2026-9-22 | Ultra-Short-Term Wind Power Prediction Model Based on Heterogeneous Transformer Expert Pool and Grey Relational Embedding
[IEEE] 2026-9-22 | A Targeted Correction Method for NWP Irradiance Considering Local Cloud Motion and Meteorological Spatial Correlations
[IEEE] 2026-9-22 | Machine Learning for GDP Forecasting: LightGBM and CatBoost Outperform ARIMA Across 20 Economies
[IEEE] 2026-9-22 | Multi-Time-Scale Optimal Scheduling of Distributed Photovoltaic-Energy Storage Systems for Coordinated Source-Grid-Load-Storage Interaction
[IEEE] 2026-9-22 | Drone-Based Iot and Machine Learning Framework for Real-Time Factory Air Pollution Monitoring and Long-Term Prediction
[IEEE] 2026-9-22 | Stock-Out Distortion and Under-Forecasting: An Inventory-Aware Diagnosis of Demand-Signal Bias in Multi-SKU Sales Forecasting
[IEEE] 2026-9-22 | Data-Driven Load Profile Inference and Grid Integration Planning for New Users at Electric Heavy-Duty Truck Charging Stations
[IEEE] 2026-9-22 | A Hybrid Deep Learning Framework for SoC and SoH Estimation in Lithium-Ion Batteries with Capuchin Optimization Model
[IEEE] 2026-9-22 | Efficient Medical Image Analysis in the JPEG-AI Compressed Domain
[IEEE] 2026-9-22 | Voltage Margin Calibration for Wind Power Hosting Capacity Risk Boundary Assessment Under Source-Load Coupling
[IEEE] 2026-9-22 | Credibility State Estimation Fusion Driven by Deep Learning for Low-Altitude Target Tracking
[IEEE] 2026-9-22 | A Credible Schedulable Capacity Assessment Method for Large-Scale 5G Base Stations Based on Dimension-Reduction Virtual Power Plant Framework
[IEEE] 2026-9-22 | Attack-defense-inspired Volt/var Control with Line Parameter Noise in Active Distribution Networks
[IEEE] 2026-9-22 | Radiation Hardened Latch Designs With FPGA-Based Verifications for Aerospace Applications
[IEEE] 2026-9-22 | Balancing Productivity and Flexibility in Lean Manufacturing for Complex Production Systems
[IEEE] 2026-9-22 | Congestion-Aware Waste Heat Recovery and Thermal Support Evaluation for Fuel Cell Heavy-Duty Trucks
[IEEE] 2026-9-22 | Low-Latency Initial Access Using Hierarchical Beam Sweeping in LEO Satellite Communication Systems
[IEEE] 2026-9-22 | Investigation on Flow Characteristics of Oil Injection at End Winding of Hairpin Winding Motors
[IEEE] 2026-9-22 | Smart Pharmacy Automated Dispensing System: Engineering Realization and Management Innovation from the Perspective of New Quality Productive Forces
[IEEE] 2026-9-22 | Modified Pix2pix for Lung Segmentation in Chest X-Ray Images
[IEEE] 2026-9-22 | False Data Injection Attack Oriented Incremental Anomaly Detection from Dual Perspectives
[IEEE] 2026-9-22 | Acoustic Binary Image Transmission with Adaptive RLE Compression and Hamming Error Correction: System Design and Performance Analysis
[IEEE] 2026-9-22 | CIML 2026 Author Information Page
[IEEE] 2026-9-22 | Optimal Capacity Configuration of Off-Grid ALK-PEM Hydrogen Systems Considering Fluctuation Features and Lifespan Degradation
[IEEE] 2026-9-22 | PD Pattern Recognition in XLPE High-Voltage Cables Based on PC-DTF and Fanet
[IEEE] 2026-9-22 | A Portable LAMP Microdevice for SARS-CoV-2 Detection: Sensitivity, Specificity, and Point-of-Care Applications
[IEEE] 2026-9-22 | Smudged Fingerprints: A Systematic Evaluation of the Robustness of AI Image Fingerprints
[IEEE] 2026-9-22 | Experimental Evaluation of Geometry and Reciprocity-Based Beamforming with Large Arrays for RF Wireless Power Transfer
[IEEE] 2026-9-22 | Context-Aware Unified Transformer for Joint Speech Recognition and Semantic Dialogue Modeling
[IEEE] 2026-9-22 | A Secure Sdn-Blockchain Architecture for Controlled Medical Data Access in IoT Networks
[IEEE] 2026-9-22 | Fuzzy Logic–Integrated Hybrid Machine Learning Model for Predicting Psychological Consumer Purchase Behavior in E-Commerce
[IEEE] 2026-9-22 | Real-time tightly coupled GNSS and IMU integration via Factor Graph Optimization
                    <sup>∗</sup>
[IEEE] 2026-9-22 | Edge Perception Interface via Promptable IR– VIS Fusion: Stable Features for Industrial IoT Safety Inspection
[IEEE] 2026-9-22 | Bridging the Synthetic-to-Real Gap in Impulsive Sound Detection Using Audio Transfer Learning
[IEEE] 2026-9-22 | Adaptive Energy Compensation Control for High-Frequency Oscillation Suppression of Grid-Forming Converter Under Varying Operating Conditions
[IEEE] 2026-9-22 | Short-Circuit Current Calculation for Photovoltaic Power Plants Considering the Entire Fault Ride-Through Process
[IEEE] 2026-9-22 | A Novel Frequency Regulation Strategy for Aggregated Electric Vehicles Considering AGC Signal Uncertainty
[IEEE] 2026-9-22 | Scalable Predictive Analytics for Project Risk Management Using Data-Driven Machine Learning Approach
[IEEE] 2026-9-22 | Conducted Emission Behaviour of a High-Power WPT System Fed by Balanced and Unbalanced Modular Converters Under Phase-Shift Modulation
[IEEE] 2026-9-22 | Deep Learning-Based Intelligent Recognition Method for Power Grid Station Wiring Diagram via Multi-Module Collaboration
[IEEE] 2026-9-22 | Multi-Spatiotemporal Collaborative Control and Hybrid Mechanism-Data Driven State Reconstruction for Active Distribution Networks
[IEEE] 2026-9-22 | Robust Computing-Power Coordinated Scheduling for a Multi-Data-Center Aggregator via Hierarchical DRL with State-Adversarial Training
[IEEE] 2026-9-22 | Development of a Multi-Sensor Fusion Hardware Platform and Motion Accuracy Verification for Power Inspection Robots
[IEEE] 2026-9-22 | Spherical Three-Phase WPT System Using Multi-Coil Transmitter Optimal Control
[IEEE] 2026-9-22 | FiLMamba: A FiLM-Conditioned Mamba Architecture with an Energy-Efficient FPGA Accelerator for Generalizable Cuffless Blood Pressure Estimation
[IEEE] 2026-9-22 | Parametric Knowledge Cannot Overcome Instance Bias in LLM-Based Automated Algorithm Design
[IEEE] 2026-9-22 | A Design of SDR-based QRNG-Radar for Interference-Resilient Sensing Applications
[IEEE] 2026-9-22 | Carbon-Accountable Peer-to-Peer Energy Trading for Interconnected Multi-Microgrids Under Incomplete Information and Privacy Constraints
[IEEE] 2026-9-22 | Psychometric Validation of LLM-Generated Items: Equivalent Quality to Human-Authored Assessments via IRT and Learning Analytics
[IEEE] 2026-9-22 | Decoupling of Communication and Sensing: Blind Parameter Estimation Robust to Array Deformations under IoT ISAC Systems
[IEEE] 2026-9-22 | MORAN-Enabled O-RAN Split 7.2 Based 5G Indoor Small Cell Using srsRAN and a Custom RF Front End
[IEEE] 2026-9-22 | Quantifying the Secure Regulation Region of a Thermal Power Unit Coupled with Battery and Thermal Energy Storage for Deep Peak Shaving
[IEEE] 2026-9-22 | Hybrid GRNN–NLIWPA Approach for Data-Driven Crop Yield Prediction and Decision Ranking
[IEEE] 2026-9-22 | BacSense: A Cascaded Hybrid Deep Learning Framework for Waterborne Bacterial Identification
[ACM] 2026-9-22 | Beyond the HBM Wall: Coherent-Memory Oversubscription for AI Workloads on NVIDIA Grace Hopper
