[2026-06-17 23:24:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-16
正在获取论文...
[arXiv] 2026-06-16 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[arXiv] 2026-06-16 | When the Next Step Is Not One Step: Distribution-Aware Execution Modeling for Concurrent Go Programs
[arXiv] 2026-06-16 | VoidPadding: Let [VOID] Handle Padding in Masked Diffusion Language Models so that [EOS] Can Focus on Semantic Termination
[arXiv] 2026-06-16 | AIGS-Net: Compact Illumination Field Modeling via 2D Gaussian Splatting for Fast Low-Light Image Enhancement
[arXiv] 2026-06-16 | Differential Privacy of Gaussian Process Posterior Sampling
[arXiv] 2026-06-16 | Asymptotic enumeration of unlabelled cubic planar graphs
[arXiv] 2026-06-16 | Planning to Hammer: Difficulty-Aware Decomposition for Automating Rocq Proofs
[arXiv] 2026-06-16 | Kes 75 with IXPE: Detection of Nebular X-ray Polarization and Change in Pulsar Lightcurve
[arXiv] 2026-06-16 | STAR: SpatioTemporal Adaptive Reward Allocation for Text-to-Image RL Post-Training
[arXiv] 2026-06-16 | Learning task-specific subspaces via interventional post-training of speech foundation models
[arXiv] 2026-06-16 | RouteBalance: Fused Model Routing and Load Balancing for Heterogeneous LLM Serving
[arXiv] 2026-06-16 | Multigrid Preconditioning for FEEC using Mass-Lumping and Transforming Smoothers
[arXiv] 2026-06-16 | Dual Line Coherent Detection
[arXiv] 2026-06-16 | Direct Measurement of the $^{212}\mathrm{Pb}$ and $^{214}\mathrm{Pb}$ $β$ Decay Branching Ratios with the XENONnT Experiment
[arXiv] 2026-06-16 | Twin-beam advantage in quantum LiDAR under correlated noise
[arXiv] 2026-06-16 | WAM-RL: World-Action Model Reinforcement Learning with Reconstruction Rewards and Online Video SFT
[arXiv] 2026-06-16 | Constellation Design for Nonlinear Unified SWIPT Receiver Channels with Memory
[arXiv] 2026-06-16 | Hydrogen s-electrons as the origin of crystal magnetism beyond spin-orbit coupling
[arXiv] 2026-06-16 | Influence of Ultramicroporosity and Surface Chemistry on Dynamic CO2 Capture in Activated Carbons
[arXiv] 2026-06-16 | AI Adoption Across a Multinational Workforce: Sociotechnical Conditions for GenAI Acceptance in Human Resources
[arXiv] 2026-06-16 | A 399uW 114.3 dB DR Companding Readout ASIC for MEMS Microphones Employing a Multirate Time-Domain ADC
[arXiv] 2026-06-16 | StepGuard: Guarding Web Navigation via Single-Step Calibration
[arXiv] 2026-06-16 | Experimental Characterization and Modeling of Measurement-Induced State-Transitions in a Fluxonium Superconducting Qubit
[arXiv] 2026-06-16 | WallZero: Mastering the Game of WallGo with Strategic Analysis
[arXiv] 2026-06-16 | The antiferromagnetic transition in the frustrated bixbyite $β$-Fe$_2$O$_3$ magnet
[arXiv] 2026-06-16 | Environment-Grounded Automated Prompt Optimization for LLM Game Agents
[arXiv] 2026-06-16 | Total curvature and length estimates for timelike curves in Lorentzian length spaces
[arXiv] 2026-06-16 | HumanoidArena: Benchmarking Egocentric Hierarchical Whole-body Learning
[arXiv] 2026-06-16 | Bridging the continuum and the kinetic-Boltzmann theories of heat flow through generalized Knudsen numbers
[arXiv] 2026-06-16 | Human-in-the-Loop Atlas-Based 3D Asset Segmentation for Interactive Content Workflows
[arXiv] 2026-06-16 | DecoSearch: Complexity-Aware Routing and Plan-Level Repair for Text-to-SQL
[arXiv] 2026-06-16 | A Framework for Evaluating Agentic Skills at Scale
[arXiv] 2026-06-16 | Kalman structure and observability for transport systems
[arXiv] 2026-06-16 | The magneto-Leidenfrost effect in ferrofluid droplets
[arXiv] 2026-06-16 | Million-scale multimodal pollen microscopy with expert-guided foundation models
[arXiv] 2026-06-16 | Dynamics of a vortex column of supercritical fluid across the pseudo-boiling line
[arXiv] 2026-06-16 | Invariant complex structures for affine automorphisms: a cocycle viewpoint
[arXiv] 2026-06-16 | ARES: A Platform for Adaptive Role-Based Evaluation of Social Engineering Risks in Human--AI Games
[arXiv] 2026-06-16 | Perceptually-Weighted Video Quality Metric for Asymmetric Encoded Sports Videos
[arXiv] 2026-06-16 | Understanding LLMs in Title-Abstract Screening: From Disagreements to Recommendations
[arXiv] 2026-06-16 | Children Are Not the Enemy: Child-Fit Security as an Alternative to Bans and Surveillance
[arXiv] 2026-06-16 | Trust the Right Teacher: Quality-Aware Self-Distillation for GUI Grounding
[arXiv] 2026-06-16 | Online Spectral Deflation for State Constrained Optimal Control Problems
[arXiv] 2026-06-16 | Demultiplexing Generalized Information via Quantum Transmission Lines
[arXiv] 2026-06-16 | The Loss of Tension in an Infinite Membrane with Holes of Decaying Spatial Density
[arXiv] 2026-06-16 | Future Dynamic 3D Reconstruction: A 3D World Model with Disentangled Ego-Motion
[arXiv] 2026-06-16 | A Joint Optimal Search for Gravitational Waves from Resolved and Unresolved Supermassive Binary Black Holes with Pulsar Timing Arrays
[arXiv] 2026-06-16 | LGNO: A Local-Global Neural Operator for Hyperbolic Conservation Laws
[arXiv] 2026-06-16 | Finite-Time Queue Peak Laws in Stochastic Networks: Logarithmic Scaling After Geometric Thresholds
[arXiv] 2026-06-16 | Conformal Prediction Intervals with Tail-Specific Guarantees
[arXiv] 2026-06-16 | Receiver-Aware Analysis and Verification of the Spectral Separation Coefficient Under Interference-Induced Degradation
[arXiv] 2026-06-16 | A Red-Team Study of Anthropic Fable 5 & Opus 4.8 Models
[arXiv] 2026-06-16 | Kolmogorov Regression for Robust Diffusion Policies
[arXiv] 2026-06-16 | An Encoder-Transformer Architecture for Recognition of the Jordan Structure of a Matrix
[arXiv] 2026-06-16 | Beyond Plane Waves: Coherent Network Response to Collimated Gravitational-Wave Wavepackets
[arXiv] 2026-06-16 | A Diffusion Approximation for Temporal-Difference Learning with Linear Features under Markovian Noise
[arXiv] 2026-06-16 | Optimal Probe State for Phase Estimation Under Covariant Measurement
[arXiv] 2026-06-16 | Learning Cardiac Electrophysiology Digital Twins Through Agentic Discovery of Hybrid Structure
[arXiv] 2026-06-16 | A new class of Euler explosions
[arXiv] 2026-06-16 | How Sparse and How Noisy? Systematic Benchmarking of Inverse Physics-Informed Neural Networks for Manning Friction Estimation in Shallow Water Equations
[arXiv] 2026-06-16 | Behind Python: The Languages That Power AI
[arXiv] 2026-06-16 | The Value of Adaptivity in LSM Bloom-Filter Tuning: A Log-Law and a Two-Clock Frontier
[arXiv] 2026-06-16 | Productivity of maximal eventually different families
[arXiv] 2026-06-16 | ComPart: Community-Guided Post-Coarsening for High-Quality Hypergraph Partitioning
[arXiv] 2026-06-16 | The free boundary problem in general relativity
[arXiv] 2026-06-16 | Decentralized Decision-Making for Finite-State Systems over Finite Alphabets is Undecidable
[arXiv] 2026-06-16 | Unintended Effects of Geographic Conditioning in Large Language Models
[arXiv] 2026-06-16 | Predicting Immune Biomarkers with MultiModal Mixture-of-Expert Pathology Foundation Models Empowers Precision Oncology
[arXiv] 2026-06-16 | Verifiable computations for dynamic encrypted control
[arXiv] 2026-06-16 | Querying an astronomical database using large language models: the ALeRCE text-to-SQL system
[arXiv] 2026-06-16 | Probing jet evolution with charged energy correlators in small systems
[arXiv] 2026-06-16 | One-Step Token-to-Waveform Generation with MeanFlow in Latent Space
[arXiv] 2026-06-16 | Blended Chart Surfaces: A Seamless Explicit Representation for Smooth Surface Fitting
[arXiv] 2026-06-16 | When AI Says "I have been in similar situations": Synthetic Lived Experience in Peer-Like Caregiver Support
[arXiv] 2026-06-16 | ConSA: Controllable Sparsity in Hybrid Attention via Learnable Allocation
[arXiv] 2026-06-16 | A Hybrid Optimization Framework for Grasp Synthesis under Partial Observations
[arXiv] 2026-06-16 | An Empirical Analysis of AI Slop in Music Streaming
