[2026-07-12 22:49:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-11
正在获取论文...
[ACM] 2026-7-11 | SIVF: GPU-Resident IVF Index for Streaming Vector Analytics
[ACM] 2026-7-11 | POLAR-PIC: A Holistic Framework for Matrixized PIC with Co-Designed Compute, Layout, and Communication
[ACM] 2026-7-11 | What’s in a Benchmark? The Case of SWE-Bench in Automated Program Repair
[ACM] 2026-7-11 | Group versus Individual Review Requests: Tradeoffs in Speed and Quality at Mozilla Firefox
[ACM] 2026-7-11 | GICC: A High-Performance Runtime for GPU-Initiated Communication and Coordination in Modern HPC Systems
[ACM] 2026-7-11 | Omnia: Efficient RAG Serving through Speculative Scheduling
[ACM] 2026-7-11 | Scalable Quantum Circuit Simulation via Circuit Cutting and FPGA Acceleration
[ACM] 2026-7-11 | CARBS: Compiler Autotuning via Randomized Biased Search
[ACM] 2026-7-11 | Modernizing VPIC-Kokkos I/O: From Legacy Binary Output to Adaptive HDF5 Workflows
[ACM] 2026-7-11 | Lustre Query: Periodic Offline Metadata Monitoring from MDT Backups
[ACM] 2026-7-11 | ATLAS: Efficient Out-of-Core Inference for Billion-Scale Graph Neural Networks
[ACM] 2026-7-11 | SAGA: State-Aware Graph Analytics for Combinatorial Optimization on Dynamic Graphs
[ACM] 2026-7-11 | DPIO: A Unified I/O Architecture for Heterogeneous CPU and DPU NVMeoF
[ACM] 2026-7-11 | Vision Language Model-based Testing of Industrial Autonomous Mobile Robots
[ACM] 2026-7-11 | CASCADE: LLM-powered JavaScript Deobfuscator at Google
[ACM] 2026-7-11 | OpenDerisk: An Industrial Framework for AI-Driven SRE, with Design, Implementation, and Case Studies
[ACM] 2026-7-11 | RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian
[ACM] 2026-7-11 | Empirical Evaluation of PDF Parsing and Chunking for Financial Question Answering with RAG
[ACM] 2026-7-11 | Inkly: A Data-Informed and Context-Aware System for HPC Job Execution
[ACM] 2026-7-11 | GLANCED-IO: Taming I/O Optimization for Deep Learning at Scale
[ACM] 2026-7-11 | Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices
[ACM] 2026-7-11 | AI Where It Matters: Where, Why, and How Developers Want AI Support in Daily Work
[ACM] 2026-7-11 | SYCL++: A Unified Programming Framework for Heterogeneous Supercomputers at Scale
[ACM] 2026-7-11 | Full-Core Fluid-Structure-Interaction Simulation of Nuclear Reactor on CPU+GPU Hybrid Clusters
[ACM] 2026-7-11 | Proceedings of the 35th International Symposium on High-Performance Parallel and Distributed Computing
[ACM] 2026-7-11 | Enabling High-Utilization and Low-Contention FaaS: A Request-Level Resource Provisioning Approach
[ACM] 2026-7-11 | Accelerating Block Low-Rank Foundation Model Inference on Memory-Constrained GPUs
[ACM] 2026-7-11 | Utilizing LLMs for Industrial Process Automation: A Case Study on Modifying RAPID Programs
[ACM] 2026-7-11 | ViTAL: LLM-Powered Taint Analysis for GUI Field Visualization Auditing in Android
[ACM] 2026-7-11 | Cremes: Cost-Efficient and Reliable Microservice Execution on Spot Instances
[ACM] 2026-7-11 | Performance Evaluation of Approximate Nearest Neighbor Search on NVIDIA BlueField-3 DPU
[ACM] 2026-7-11 | Endeavor: Efficient PairHMM for Detection of DNA Variants in Genome-Scale Datasets
[ACM] 2026-7-11 | Deterministic and Efficient Low Rank Approximation on GPUs
[ACM] 2026-7-11 | TypeJinja: Static Type Checking of Jinja Templates at dbt Labs
[ACM] 2026-7-11 | Enabling Black-box RPC-API Testing with Multi-Agent Reinforcement Learning and LLMs: An Industry Case Study
[ACM] 2026-7-11 | TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback
[ACM] 2026-7-11 | SRAP: Sender-side Receiver-Aware Port Selection for Deterministic Flow-to-Core Mapping in Hash-Based Flow Steering
[ACM] 2026-7-11 | Automated Bug Frame Retrieval from Gameplay Videos Using Multimodal Large Language Models
