[2026-02-15 09:19:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-14
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602140000+TO+202602142359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-2-14 | Eval-PPO: Building an Efficient Threat Evaluator Using Proximal Policy Optimization
[ACM] 2026-2-14 | CAPS: A Cross-Lingual Methodology for Detecting Misinformation in Estonian Health News
[ACM] 2026-2-14 | TA-PPO: A Proximal Policy Optimization Method Integrating Temporal Sequence States
[ACM] 2026-2-14 | Footprint Contour Detection Methods based on Improved DSNet Model
[ACM] 2026-2-14 | A-UEBA: An Anomaly Heterogeneity Learning Framework Based on Multi-Endpoint User and Entity Behavior Analysis
[ACM] 2026-2-14 | Object Goal Navigation based on 3D Semantic Gaussian
[ACM] 2026-2-14 | Optimization Strategy for I/O Scheduling Method of a Disaster-tolerant Storage System
[ACM] 2026-2-14 | Complexity Aware Recursive Decomposition for Math Reasoning
[ACM] 2026-2-14 | REFINE: Composed Video Retrieval via Shared and Differential Semantics Enhancement
[ACM] 2026-2-14 | IDBF: Information-theoretic Disentanglement with Bridge Fusion for Multimodal Sentiment Analysis
[ACM] 2026-2-14 | A Data Center Room Monitoring Framework Based on Embodied Intelligence
[ACM] 2026-2-14 | Support Vector Machine Aided Semi-intelligent Performance Enhancement of CMOS Gate-voltage Bootstrapped Sampling Switch
[ACM] 2026-2-14 | PoseTalk: Exploring Text- and Audio-based Pose Control for One-Shot Talking Face Generation
[ACM] 2026-2-14 | Text-Guided Cross-Modal Alignment with Attribute and Contour Prototypes for Visible-Infrared Person Re-Identification
[ACM] 2026-2-14 | A Multi-Feature Fusion Driven Method for Time Series Pre-event Prediction
[ACM] 2026-2-14 | Reversing the Retrieval Engine: Query Performance Prediction as an Inverse Learning Task
[ACM] 2026-2-14 | Enhancing Depression Detection Using Pre-trained Multi-modal Sentiment Analysis Models with Deep Prefix Tuning
[ACM] 2026-2-14 | VTalker: Text-Driven Synthesis of Talking Head with Vision Diffusion Transformer
[ACM] 2026-2-14 | Enhancing POI Recommendation through Global Graph Disentanglement with POI Weighted Module
[ACM] 2026-2-14 | Evaluating LLM-based Agents for Multi-Turn Conversations: A Survey
[ACM] 2026-2-14 | Opinion Paper Type: The Need for Pedagogical Approaches in Cross-cultural Design Practices in the US Midwest
[ACM] 2026-2-14 | GAROD: Delve into Gradient-Based Attribution Reliability for Out-of-Distribution Detection
[ACM] 2026-2-14 | Vision-Language Model-Assisted Active Learning for High-Accuracy Defect Detection in Automotive Bushing Components
[ACM] 2026-2-14 | Mixup-Tuning: Enhancing Multimodal Reasoning via Attention-Aware Token Alignment and Consistency Regularization
[ACM] 2026-2-14 | Two-Stage Tool Retrieval and Invocation for Customer Service Interactions
