[2025-12-06 09:09:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-05
正在获取论文...
[IEEE] 2025-12-5 | Energy Harvesting in Solar-Powered UAV Communication With Rate Splitting Multiple Access
[IEEE] 2025-12-5 | Your Model Is Unfair, Are You Even Aware? Inverse Relationship between Comprehension and Trust in Explainability Visualizations of Biased ML Models
[IEEE] 2025-12-5 | Spectral-Guided Multiscale Feature-Aware Transformer for Hyperspectral Image Classification_supp1-3630239.pdf
[ACM] 2025-12-6 | LLM-Powered Interactive Graph Search: A Scalable and Practical Approach
[ACM] 2025-12-6 | Are Your LLM-based Text-to-SQL Models Secure? Exploring SQL Injection via Backdoor Attacks
[ACM] 2025-12-6 | AgentTune: An Agent-Based Large Language Model Framework for Database Knob Tuning
[ACM] 2025-12-6 | High-Throughput, Cost-Effective Billion-Scale Vector Search with a Single GPU
[ACM] 2025-12-5 | Using extended reality to raise coastal flooding risk awareness: A pilot project in the municipality of Guissény (France)
[ACM] 2025-12-5 | User Identification in Virtual Reality through Behavioral Biometrics and the Influence of Colocated Interactions
[ACM] 2025-12-5 | Effects of Embodying Emotional Avatars on Thermophysiological Responses and Affective State in Virtual Reality
[ACM] 2025-12-5 | Shadow-Free Projection with Blur Mitigation on Dynamic, Deformable Surfaces
[ACM] 2025-12-5 | Towards Secure and Usable XR Authentication Schemes for Head-Mounted Displays: A Co-Creation Study with Experts
[ACM] 2025-12-5 | FlowZone: Real-Time Pose-Tracking Virtual Reality(VR) Yoga and Mindfulness Meditation
[ACM] 2025-12-5 | How a task-blind adaptive VR system can improve users' task performance: an assisted immersive analytics use case
[ACM] 2025-12-5 | SIGGRAPH Asia 2025 Real-Time Live!
[IEEE] 2025-12-5 | Cluster Head-Based Cooperative Communication System for Efficient Energy Consumption in Swarm UAVs
[IEEE] 2025-12-5 | Model-Based Design and Robust Control of a V-Shaped Tilt Bi-Rotor (Homma): From Modeling to Flight Validation
[IEEE] 2025-12-5 | Radio Channel Measurements and Modeling: Incorporating Reconfigurable Antennas Into Wireless Propagation Channels
[IEEE] 2025-12-5 | Identification of Lightning Strikes to Towers Using Their Electric Field Signatures and a Machine Learning Approach
[IEEE] 2025-12-5 | Seismic denoising via multi-round SCU-Net
[ACM] 2025-12-5 | Directed Real-time Linux Fuzzing with Configuration Awareness
[ACM] 2025-12-6 | Empowering bilingual interpreters with AI tools in multi-lingual interpreting training: insights into AI-assisted interpreting training and assessment
[ACM] 2025-12-6 | Reconstruction and Implementation of the Artificial Intelligence Curriculum System Based on “Project-driven” from the Perspective of New Quality Productivity
[ACM] 2025-12-6 | Research on the Intelligent Learning Path of University Computer Basic Courses from the Perspective of AI
[ACM] 2025-12-6 | MCIHN: A Hybrid Network Model Based on Multi-path Cross-modal Interaction for Multimodal Emotion Recognition
[IEEE] 2025-12-5 | A Programmable and Reconfigurable On-Chip Photonic Filter for Next-Generation Multi-Channel DWDM
[IEEE] 2025-12-5 | Quantum Key Distribution over a 143 km Heterogeneous SMF-MCF Infrastructure with Co-existing Classical Traffic
[IEEE] 2025-12-5 | Towards Power System Data Standardization: An Integrated Framework for Renewable Energy Generation Data Analytics
[IEEE] 2025-12-5 | A Threat Intelligence Enhanced Approach for Real-time Detection of Malicious Tor Traffic
[IEEE] 2025-12-5 | FlameRAG-SHO: A Hybrid RAG and Bio-Inspired Optimisation Framework for Intelligent Wildfire Prediction Using Multi-Source Satellite Data
[IEEE] 2025-12-5 | $6 \times 2.3 \text{Tb} / \mathrm{s}$ Net Rate Transmission Over 20.2 Km of Ultra-Low Loss Hollow Core Fiber Using DP-16QAM Signalling and High Power Doped Fiber Amplifier
[IEEE] 2025-12-5 | Optimizing Symbiotic Performance of the Cooperative NOMA-SR using Particle Swarm Optimization
[IEEE] 2025-12-5 | No-Code Application Programming Interface Testing Platform – Atlas
[IEEE] 2025-12-5 | Water Quality Assessment Model Based on Projection Pursuit and Multi-source Data Fusion
[IEEE] 2025-12-5 | Experimental Demonstration of Improved Deconvoluted Corre-Lation Based Longitudinal Power Monitoring
[IEEE] 2025-12-5 | Autonomous Transmitter-Optical-Power Levelling of ONUs for Energy-Efficient PON Systems
[IEEE] 2025-12-5 | High Parallelism Optical Dot-Product Processor Based on FSR-Free Micro-Ring Resonators
[IEEE] 2025-12-5 | Reliability Assessment of DC Solid-State Circuit Breaker with Snubber Circuit Based on Part Stress Analysis Using LSTM
[IEEE] 2025-12-5 | Efficient Phase Noise Compensation Technique for FMCW LiDAR Sensors with Simplified Complexity
[IEEE] 2025-12-5 | Attention-based multimodal feature fusion visual question answering
[IEEE] 2025-12-5 | Quantum-Enhanced Zero-Knowledge Proofs for zk Rollup Security in Web3 Ecosystem
[IEEE] 2025-12-5 | A Practical Identification of Parameters for a DC Motor by Recurrent Neural Networks
[IEEE] 2025-12-5 | Robust Adaptive Kalman Filtering with Dynamic Learning for UAV Altitude Estimation
[IEEE] 2025-12-5 | Two Port Dual Band Half Mode Substrate Integrated Waveguide (HMSIW) MIMO Antenna for Sub-6GHz and WLAN Applications
[IEEE] 2025-12-5 | Digital Twins Beyond C-Band Using GNPy
[IEEE] 2025-12-5 | FPVcar: An Affordable Robotic Platform to Support Computer Vision Education, from Hardware Design to User-Friendly Programming
[IEEE] 2025-12-5 | Two incipient fault detection methods: comparison and further analysis
[IEEE] 2025-12-5 | A Study on Non-invasive Blood Glucose Monitoring using Terahertz Spectroscopy
[IEEE] 2025-12-5 | Optimal Symbol Rate for Discrete Nonlinear Frequency Division Multiplexing Transmissions
[IEEE] 2025-12-5 | Nonlinear Mitigation for Coherent Optical DAC Transmitter
[IEEE] 2025-12-5 | Efficient Uncooled High-Power $1.31 \ \mu\text{m}$ DFB Laser Diode for Co-Packaged Optics
[IEEE] 2025-12-5 | Remaining Useful Life Prediction of Rolling Bearings Based on Full-Band Feature Feedback Adaptive Fusion
[IEEE] 2025-12-5 | Why Dark Nuns Split Audiences: A Sentiment Analysis of Hype vs Disappoinment Using BERT NLP
[IEEE] 2025-12-5 | Diagnosis-Aware Active Learning Based on Uncertainty Metrics
[IEEE] 2025-12-5 | Proactive Sensing of Environmental Events Through Optical Data Networks: a Path to Intelligent Resilience
[IEEE] 2025-12-5 | Data Lake Validation Strategies: Ensuring Quality in Data Warehousing Pipelines
[IEEE] 2025-12-5 | Enhanced SOH Estimation for Electric Vehicle Power Batteries Considering Climate Variations and Driving Habits
[IEEE] 2025-12-5 | Attention Enhancement and Multi-Norm Constraints Based Adversarial Attack for Motor Fault Diagnosis Model
[IEEE] 2025-12-5 | QoT Impairments Induced by Statistical Filtering Variations with a Realistic Equalizer
[IEEE] 2025-12-5 | Grade Prediction Using Transfer Learning Methods on Meningioma Brain Tumor Images
[IEEE] 2025-12-5 | A Comprehensive Review of COVID-19 Detection Methods: Cough Sounds, Clinical Symptoms, Chest X-Rays, and CT Imaging
[IEEE] 2025-12-5 | Predictive Modelling of Type 2 Diabetes via Glucose-Insulin Interactions Using Machine Learning Techniques
[IEEE] 2025-12-5 | Vision-Guided Radar System for Wireless Reading and Identification of 3D-Printed Microfluidic Sensors
[IEEE] 2025-12-5 | An On-Chip Dual-Tone Source for Photonic-Based Terahertz Transmitters
[IEEE] 2025-12-5 | Performance Analysis of Different Classification Algorithms in Land Use and Land Cover using Landsat-8 Satellite Imagery
[IEEE] 2025-12-5 | Smart Cane for the Visually Impaired: Enhancing Navigation, Safety, and Emergency Response
[IEEE] 2025-12-5 | Optical Access Networks - An Operator View from Past to Future System-Technologies and Applications
[IEEE] 2025-12-5 | Compact Slotted Cavity-Back Antenna with Wideband Circular Polarization for UHF RFID Readers
[IEEE] 2025-12-5 | LLMs for Embodied Robotics: A comparative analysis on augmentation methods between an embedded AI computer and consumer-grade hardware for Autonomous Navigation
[IEEE] 2025-12-5 | A Hybrid Genetic Algorithm for Multi-Satellite Mission Planning Problem
[ACM] 2025-12-6 | Unifying Generative Self-Supervised Paradigms with Diffusion Models
[ACM] 2025-12-6 | Biometric-Based Recovery Mechanism for Blockchain-Based Wallet
[ACM] 2025-12-6 | You Are Out of My Focus: A Defocus-Blur Backdoor Attack against Deep Learning Models
[ACM] 2025-12-6 | MCTG: A Multimodal Self-Supervised Contrastive Learning Framework Based on CTG
[ACM] 2025-12-5 | Saccaidance: Saccade-Aware Pattern Embedding for Gaze Guidance on High-Speed Displays
[ACM] 2025-12-5 | Enhancing Immersive Virtual Reality Experiences with Multiple Tasks Prediction Using Pre-Trained Large Foundation Models
[ACM] 2025-12-5 | The Impact of Sensory Levels on Presence and Cybersickness in Virtual Reality
[ACM] 2025-12-5 | Surveying Accessibility Features in VR Applications for Meta Quest 3
[IEEE] 2025-12-5 | Rapid Electromagnetic Analysis of Finite Periodic Structures with Partial Modifications
[IEEE] 2025-12-5 | AFT: Appearance-Based Feature Tracking for Markerless and Training-Free Shape Reconstruction of Soft Robots
[IEEE] 2025-12-5 | Multiple Access Enabled Integrated Sensing and Communication With Imperfect SIC: Non-orthogonal vs. Rate Splitting
[IEEE] 2025-12-5 | Prescribed Performance Control of Ammunition Loading Manipulator Arm Considering Actuator Saturation and Nonlinear Friction
[IEEE] 2025-12-5 | A Generalized Multidimensional Chinese Remainder Theorem (MD-CRT) for Multiple Integer Vectors
[IEEE] 2025-12-5 | Multi-Scale Weather Forecasting using Deep Learning Architectures on Real-Time Chennai Climate Data
[IEEE] 2025-12-5 | SAGA: Synthetic Audit Log Generation for APT Campaigns
[IEEE] 2025-12-5 | Characteristics Estimation and Design of SPMSM using Analytic Method-based Transfer Learning
[IEEE] 2025-12-5 | Physics-Informed Matrix Factorization Operator
[IEEE] 2025-12-5 | A Dual-Path Recurrent Framework Integrating Optical Flow Guidance and Spatiotemporal-Aware Learning for Sea Surface Temperature Prediction
[IEEE] 2025-12-5 | Comparing Methods for the Cross-Level Verification of SystemC Peripherals with Symbolic Execution
[IEEE] 2025-12-5 | Elevation and vegetation cover dominate inter-basin water use efficiency patterns in China
[IEEE] 2025-12-5 | A Systematic Study of the Adiabaticity Parameter in Optical Waveguides
[IEEE] 2025-12-5 | W-MSTC: A Window Based Multi-Scale Temporal Cross Attention Method for Few-Shot Modulation Recognition
[IEEE] 2025-12-5 | CRTSE: Clustering and Reinforcement Learning Based Task Scheduling Algorithm for Edge Computing
[IEEE] 2025-12-5 | A Hybrid Multiobjective Memetic Algorithm for Energy-Efficient Scheduling of Distributed Heterogeneous Flow Shop With Economic Benefit Problem
[ACM] 2025-12-6 | TranSQL
                    <sup>+</sup>
                    : Serving Large Language Models with SQL on Low-Resource Hardware
[ACM] 2025-12-5 | DyVarMap: An Interpretable, Dynamics-Aware Framework for Missense Variant Classification
[IEEE] 2025-12-5 | Kalman Smoother-Based Method for Fault Initiation Time Traceability and Localization in Trains
[IEEE] 2025-12-5 | Integrated Security Control of ICPS Based on GCRA-RF under Progressive Stealthy FDI Attacks
[IEEE] 2025-12-5 | SAR Image Classification Using Edge-Preserving Filters
[IEEE] 2025-12-5 | An Intelligent Product Recommendation System using Machine Learning and Hybrid Filtering Approaches
[IEEE] 2025-12-5 | Non-Invasive Bioactive Bio patch for Astronauts Gut Health Monitoring
[IEEE] 2025-12-5 | Transformative AI Technologies in High-Voltage Systems: A Review of Advances in Predictive Maintenance, Fault Detection, and Grid Optimization
[IEEE] 2025-12-5 | Precedent Aware Legal Reasoning System for Turkish Jurisdiction with RAG Supported LLMs
[IEEE] 2025-12-5 | A Multimodal CNN Approach to Static Object Recognition Using RGB and Depth Data
[IEEE] 2025-12-5 | Pneumonia Detection using Fast AI ResNet50 Model
[IEEE] 2025-12-5 | Assessment of Photovoltaic Module Degradation Through Neural Network Classification
[IEEE] 2025-12-5 | Research on Differentiated Training of Data for Intelligent Safety-critical Software
[IEEE] 2025-12-5 | Layered Multiband Network Architecture with Spatially Parallel Bypass for Selective and Cost-Efficient SDM Deployment
[IEEE] 2025-12-5 | Chipless RFID IR-UWB Reader for Ultra-Fast Readings
[IEEE] 2025-12-5 | H-infinity Fault-tolerant Control for Fully Actuated Systems with Its Application
[IEEE] 2025-12-5 | A Comprehensive Literature Review on Cotton Leaf Disease Classification Using Artificial Intelligence Techniques
[IEEE] 2025-12-5 | Comparative Bandwidth Response of GaInAs and GaInAsSb Uni-Traveling Carrier Photodiodes (UTC-PDs)
[IEEE] 2025-12-5 | Low-carbon urban travel solutions integrated with IoT sensor networks and intelligent traffic management systems
[IEEE] 2025-12-5 | ECA-CNN-Driven RUL Prediction for Lithium-Ion Batteries: A Charging Data Deep Learning Approach
[IEEE] 2025-12-5 | Generative AI in Education and its Future Possibilities
[IEEE] 2025-12-5 | 3D Silicon Nitride Waveguide Interposers for High-Density Scale-up Chiplet Interconnects
[IEEE] 2025-12-5 | Design and Development of a Beamforming Antenna Array System for Wi-Fi 7 Applications
[IEEE] 2025-12-5 | Arabic Script as Flexible Chipless RFID Tags for Enhanced Product Advertisements
[IEEE] 2025-12-5 | Building Trust and Improve Security of Vehicle User using Modern and Effective Solutions for Accessing Services in Smart Environment
[IEEE] 2025-12-5 | Waste-to-Coin: A Blockchain-Based Ecosystem for Exchanging Waste Products for Digital Tokens
[IEEE] 2025-12-5 | Nanosecond Electro-Optic Switching with Time Synchronisation for Fronthaul TSN Applications
[IEEE] 2025-12-5 | Quality Relevance-Aware Multi-Head Attention for Transformers in Industrial Time-Series Prediction
[IEEE] 2025-12-5 | AI Powered IoT System for Real-Time Plant Disease Detection Using YOLOv5
[IEEE] 2025-12-5 | Analysis of Pulse Shapers in Split Hopkinson Pressure Bar Systems and a Novel Latent Space Based Spectral Evaluation Framework
[IEEE] 2025-12-5 | Linear Matrix Computation via a Silicon Photonic Feedforward Balanced Network Chip
[IEEE] 2025-12-5 | Programmable Lens Systems with Liquid Crystals Elastomers for High Capacity and Wide Steering Angle Wireless Optical Link
[IEEE] 2025-12-5 | Performance Comparison of Backscatter Receivers
[IEEE] 2025-12-5 | Disambiguating Investment Entities in Enterprise Graphs: A Hybrid Approach with Graph Neural Networks and Embedding Models
[IEEE] 2025-12-5 | Exploring the Synergy of Augmented Reality and Smart Tourism in the Digital Era: Integrating IoT, 5G, and Big Data for Enhanced Travel Experiences
[IEEE] 2025-12-5 | A Computational Model for Stress Intervention using Affective Brain-Computer Interfaces
[IEEE] 2025-12-5 | Robust Load Forecasting for EV Charging Stations under FDIA via Fuzzy Logic Control Transformer Networks
[IEEE] 2025-12-5 | ViT-driven Visual Extraction in R2GenCMN for medical report generation
[IEEE] 2025-12-5 | ETL Process Optimization and Data Warehouse Construction for the Main Structural Quality Testing Data of Prefabricated Concrete Buildings Based on AAS
[IEEE] 2025-12-5 | DiffuseNet: A Hybrid cGAN and Diffusion Model Framework for Enhanced SAR Image Colorization
[IEEE] 2025-12-5 | Transfer-Learning-Driven Neural Network Equalization for Ultra-High-Capacity $254.7-\text{Tb} / \mathrm{s}$ Over $200-\text{km}$ SSMF
[IEEE] 2025-12-5 | Power Consumption Analysis of QKD Networks Under Different Protocols and Detector Configurations
[IEEE] 2025-12-5 | Adjustable Robust Optimization Technique for P2MP Filterless Optical Networks Under Parameter Uncertainty
