[2025-12-12 09:14:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-11
正在获取论文...
[arXiv] 2025-12-11 | Improved Identification of Strongly Lensed Gravitational Waves with Host Galaxy Locations
[arXiv] 2025-12-11 | A Privacy-Preserving Cloud Architecture for Distributed Machine Learning at Scale
[arXiv] 2025-12-11 | Refined M-type Star Catalog from LAMOST DR10: Measurements of Radial Velocities, $T_\text{eff}$, log $g$, [M/H] and [$α$/M]
[arXiv] 2025-12-11 | Multilingual VLM Training: Adapting an English-Trained VLM to French
[arXiv] 2025-12-11 | Matrix approach to the fractional calculus
[arXiv] 2025-12-11 | Balancing Turnover and Promotion Outcomes: Evidence on the Optimal Hybrid-Work Frequency
[arXiv] 2025-12-11 | EchoingPixels: Cross-Modal Adaptive Token Reduction for Efficient Audio-Visual LLMs
[arXiv] 2025-12-11 | User-Feedback-Driven Continual Adaptation for Vision-and-Language Navigation
[arXiv] 2025-12-11 | Infusing Experimental Reality into Complex Many-Body Hamiltonians: The Observable-Constrained Variational Framework (OCVF)
[arXiv] 2025-12-11 | EpiPlanAgent: Agentic Automated Epidemic Response Planning
[arXiv] 2025-12-11 | High-Dimensional Data Processing: Benchmarking Machine Learning and Deep Learning Architectures in Local and Distributed Environments
[arXiv] 2025-12-11 | Large deviation principles for fully coupled multiscale multivalued stochastic systems
[arXiv] 2025-12-11 | Investigating The Functional Roles of Attention Heads in Vision Language Models: Evidence for Reasoning Modules
[arXiv] 2025-12-11 | MotionEdit: Benchmarking and Learning Motion-Centric Image Editing
[arXiv] 2025-12-11 | MorphZ: Enhancing evidence estimation through the Morph approximation
[arXiv] 2025-12-11 | Graph Neural Network Based Adaptive Threat Detection for Cloud Identity and Access Management Logs
[arXiv] 2025-12-11 | Single-molecule Scale Nuclear Magnetic Resonance Spectroscopy using a Robust Near-Infrared Spin Sensor
[arXiv] 2025-12-11 | Quantum relaxometry for detecting biomolecular interactions with single NV centers
[arXiv] 2025-12-11 | VLM-NCD:Novel Class Discovery with Vision-Based Large Language Models
[arXiv] 2025-12-11 | Time-Averaged Drift Approximations are Inconsistent for Inference in Drift Diffusion Models
[arXiv] 2025-12-11 | Catalytic Tomography of Ground States
[arXiv] 2025-12-11 | Stable skyrmion bundles at room temperature and zero magnetic field in a chiral magnet
[arXiv] 2025-12-11 | The Circulate and Recapture Dynamic of Fan Mobility in Agency-Affiliated VTuber Networks
[arXiv] 2025-12-11 | EP250827b/SN 2025wkm: An X-ray Flash-Supernova Powered by a Central Engine and Circumstellar Interaction
[arXiv] 2025-12-11 | Design Space Exploration of DMA based Finer-Grain Compute Communication Overlap
[arXiv] 2025-12-11 | Permutation-Equivariant Learning for Dynamic Security Assessment of Power System Frequency Response
[arXiv] 2025-12-11 | Adaptive Information Routing for Multimodal Time Series Forecasting
[arXiv] 2025-12-11 | FEADME: Fast Elliptical Accretion Disk Modeling Engine
[arXiv] 2025-12-11 | Federated Domain Generalization with Latent Space Inversion
[arXiv] 2025-12-11 | Does SWE-Bench-Verified Test Agent Ability or Model Memory?
[arXiv] 2025-12-11 | Active Optics for Hyperspectral Imaging of Reflective Agricultural Leaf Sensors
[arXiv] 2025-12-11 | ID-PaS : Identity-Aware Predict-and-Search for General Mixed-Integer Linear Programs
[arXiv] 2025-12-11 | Switching of topological phase transition from semiconductor to ideal Weyl states in Cu$_2$SnSe$_3$ family of materials
[arXiv] 2025-12-11 | Heteronuclear and Homonuclear Vector Solitons in Lasers
[arXiv] 2025-12-11 | Andr{á}sfai--Erdős--Sós theorem under max-degree constraints
[arXiv] 2025-12-11 | Uniform Lefschetz fixed-point theory
[arXiv] 2025-12-11 | Quantum Internet in the Sky: Vision, Challenges, Solutions, and Future Directions
[arXiv] 2025-12-11 | Bell coloring graphs: realizability and reconstruction
[arXiv] 2025-12-11 | Offscript: Automated Auditing of Instruction Adherence in LLMs
[arXiv] 2025-12-11 | Authority Backdoor: A Certifiable Backdoor Mechanism for Authoring DNNs
[arXiv] 2025-12-11 | Beyond Pixels: A Training-Free, Text-to-Text Framework for Remote Sensing Image Retrieval
[arXiv] 2025-12-11 | Motion Planning for Safe Landing of a Human-Piloted Parafoil
[arXiv] 2025-12-11 | The Distributional Consequences of Paid-Priority Queues
[arXiv] 2025-12-11 | THeGAU: Type-Aware Heterogeneous Graph Autoencoder and Augmentation
[arXiv] 2025-12-11 | Why a chloroplast needs its own genome tethered to the thylakoid membrane - Co-location for Redox Regulation
[arXiv] 2025-12-11 | Is Dark Energy Dynamical in the DESI Era? A Critical Review
[arXiv] 2025-12-11 | Structural Methods for handling mode changes in multimode DAE systems
[arXiv] 2025-12-11 | Janus Percolation in Anisotropic Limited-Degree Networks
