[2026-03-12 09:31:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-11
正在获取论文...
[arXiv] 2026-03-11 | Effective Dataset Distillation for Spatio-Temporal Forecasting with Bi-dimensional Compression
[arXiv] 2026-03-11 | Designing Service Systems from Textual Evidence
[arXiv] 2026-03-11 | Multi-Person Pose Estimation Evaluation Using Optimal Transportation and Improved Pose Matching
[arXiv] 2026-03-11 | Graph-GRPO: Training Graph Flow Models with Reinforcement Learning
[arXiv] 2026-03-11 | Magnetic field strength constraints on $γ$-ray flaring regions in the flat spectrum radio quasar PKS 1222+216
[arXiv] 2026-03-11 | Variance-Aware Adaptive Weighting for Diffusion Model Training
[arXiv] 2026-03-11 | Optimal Movable Antenna Placement for Near-Field Wireless Sensing
[arXiv] 2026-03-11 | Dynamic Knowledge Fusion for Multi-Domain Dialogue State Tracking
[arXiv] 2026-03-11 | Geometric Autoencoder for Diffusion Models
[arXiv] 2026-03-11 | HEAL: Hindsight Entropy-Assisted Learning for Reasoning Distillation
[arXiv] 2026-03-11 | Interstellar Object 3I/ATLAS Observed from Mars by China's Tianwen-1 Spacecraft
[arXiv] 2026-03-11 | On The Complexity of Best-Arm Identification in Non-Stationary Linear Bandits
[arXiv] 2026-03-11 | Landmark Guided 4D Facial Expression Generation
[arXiv] 2026-03-11 | Fuel Gauge: Estimating Chain-of-Thought Length Ahead of Time in Large Multimodal Models
[arXiv] 2026-03-11 | A candidate proton cyclotron feature in the ultraluminous X-ray source NGC 4656 ULX-1
[arXiv] 2026-03-11 | On the dual nature of atmospheric escape
[arXiv] 2026-03-11 | Weighted Generalized Risk Measure and Risk Quandrangle: Characterization, Optimization and Application
[arXiv] 2026-03-11 | Linear complementarity properties of some classes of banded matrices
[arXiv] 2026-03-11 | On Bipartite-Almost Bipartite Graphs and the Determinantal Factorization
[arXiv] 2026-03-11 | PRoADS: Provably Secure and Robust Audio Diffusion Steganography with latent optimization and backward Euler Inversion
[arXiv] 2026-03-11 | How to make the most of your masked language model for protein engineering
[arXiv] 2026-03-11 | Regime-aware financial volatility forecasting via in-context learning
[arXiv] 2026-03-11 | Electron-phonon physics at the exascale: A hybrid MPI-GPU-OpenMP framework for scalable Wannier interpolation
[arXiv] 2026-03-11 | Binomial Random Matroids
[arXiv] 2026-03-11 | Methods for Identifying Minimal Sufficient Statistics
[arXiv] 2026-03-11 | Copula-ResLogit: A Deep-Copula Framework for Unobserved Confounding Effects
[arXiv] 2026-03-11 | Gauge transformation for pulse propagation and time ordered integrals
[arXiv] 2026-03-11 | Rigidity of Critical Point Metrics under some Ricci curvature constraints
[arXiv] 2026-03-11 | Hinode EIS Observations of Plasma Composition Evolution and Radiative Cooling of Solar Flare Loops
[arXiv] 2026-03-11 | Making Bielik LLM Reason (Better): A Field Report
[arXiv] 2026-03-11 | Motives, cohomological invariants and Freudenthal magic square
[arXiv] 2026-03-11 | MUNIChus: Multilingual News Image Captioning Benchmark
[arXiv] 2026-03-11 | Anti-Ramsey forbidden poset problems
[arXiv] 2026-03-11 | Learning Bimanual Cloth Manipulation with Vision-based Tactile Sensing via Single Robotic Arm
[arXiv] 2026-03-11 | M-Polynomial of Product Graphs
[arXiv] 2026-03-11 | The Asteroid Framing Cameras on ESA's Hera mission
[arXiv] 2026-03-11 | Gradient Flow Drifting: Generative Modeling via Wasserstein Gradient Flows of KDE-Approximated Divergences
[arXiv] 2026-03-11 | Optical quantum teleportation with known amplitude distorting factors of teleported qubits
[arXiv] 2026-03-11 | Shadowing phenomenon for composition operators on the Hardy space $H^2(\mathbb{D})$
[arXiv] 2026-03-11 | Safety-critical Control Under Partial Observability: Reach-Avoid POMDP meets Belief Space Control
[arXiv] 2026-03-11 | Entanglement distribution among distinct mechanical nodes in a quantum network
[arXiv] 2026-03-11 | UniStitch: Unifying Semantic and Geometric Features for Image Stitching
[arXiv] 2026-03-11 | Transcendence of $p$-adic continued fractions and a quantitative $p$-adic Roth theorem
[arXiv] 2026-03-11 | PET-F2I: A Comprehensive Benchmark and Parameter-Efficient Fine-Tuning of LLMs for PET/CT Report Impression Generation
[arXiv] 2026-03-11 | Observation of Kondo hybridization wave in UTe2
[arXiv] 2026-03-11 | P-GSVC: Layered Progressive 2D Gaussian Splatting for Scalable Image and Video
[arXiv] 2026-03-11 | Chromospheric and photospheric properties of sunspots as inferred from Stokes inversions under magneto-hydrostatic and non-local-thermodynamic equilibrium
[arXiv] 2026-03-11 | In-Memory ADC-Based Nonlinear Activation Quantization for Efficient In-Memory Computing
[arXiv] 2026-03-11 | An Event-Driven E-Skin System with Dynamic Binary Scanning and real time SNN Classification
[arXiv] 2026-03-11 | Multi-wavelength emission modelling of PSR~J0437$-$4715
[arXiv] 2026-03-11 | Convexity of the Potential Function of the Einstein-Kähler Metric on a Convex Domain
[arXiv] 2026-03-11 | Safe and Scalable Web Agent Learning via Recreated Websites
[arXiv] 2026-03-11 | Discontinuous Wealth-Gradient Transition Driving Cooperation
[arXiv] 2026-03-11 | StructDamage:A Large Scale Unified Crack and Surface Defect Dataset for Robust Structural Damage Detection
[arXiv] 2026-03-11 | White Dwarfs with Infrared Excess from LAMOST Data Release 11
[arXiv] 2026-03-11 | The Ricci flow with prescribed curvature on graphs
[arXiv] 2026-03-11 | From Verification to Herding: Exploiting Software's Sparsity of Influence
[arXiv] 2026-03-11 | Muscle Synergy Priors Enhance Biomechanical Fidelity in Predictive Musculoskeletal Locomotion Simulation
[arXiv] 2026-03-11 | DepthCache: Depth-Guided Training-Free Visual Token Merging for Vision-Language-Action Model Inference
[arXiv] 2026-03-11 | G-STAR: End-to-End Global Speaker-Tracking Attributed Recognition
[arXiv] 2026-03-11 | UniPINN: A Unified PINN Framework for Multi-task Learning of Diverse Navier-Stokes Equations
[arXiv] 2026-03-11 | On Partial Trace Ideals
[arXiv] 2026-03-11 | Brenier Isotonic Regression
[arXiv] 2026-03-11 | FAR-Dex: Few-shot Data Augmentation and Adaptive Residual Policy Refinement for Dexterous Manipulation
[arXiv] 2026-03-11 | Discriminating Dark Matter Origins with Directional Detection
[arXiv] 2026-03-11 | CSST-PSFNet: A Point Spread Function Reconstruction Model for the CSST Based on Deep Learning
[arXiv] 2026-03-11 | Naturally Light Distortion
[arXiv] 2026-03-11 | Forcing with random variables in bounded arithmetics and set theory
[arXiv] 2026-03-11 | Phase Selection and Analysis for Multi-frequency Multi-user RIS Systems Employing Subsurfaces
[arXiv] 2026-03-11 | Expressive Boundedness of Authoritative DNS Response Selection
[arXiv] 2026-03-11 | A Hybrid Knowledge-Grounded Framework for Safety and Traceability in Prescription Verification
[arXiv] 2026-03-11 | The Berezin liminf criterion fails for radial Toeplitz operators
[arXiv] 2026-03-11 | FG-CLTP: Fine-Grained Contrastive Language Tactile Pretraining for Robotic Manipulation
[arXiv] 2026-03-11 | Risk time splitting for improved estimation of screening programs effect on later mortality
[arXiv] 2026-03-11 | Exploring Indicators of Developers' Sentiment Perceptions in Student Software Projects
[arXiv] 2026-03-11 | OSUM-Pangu: An Open-Source Multidimension Speech Understanding Foundation Model Built upon OpenPangu on Ascend NPUs
[arXiv] 2026-03-11 | Direct observation of three-neutron emission from $^7$He$^*$ and the search for the trineutron
[arXiv] 2026-03-11 | SPX-VIX Risk Computations Via Perturbed Optimal Transport
[arXiv] 2026-03-11 | 6ABOS: An Open-Source Atmospheric Correction Framework for the EnMAP Hyperspectral Mission Based on 6S
[arXiv] 2026-03-11 | Star Topology Optimizes the Charging Power of Quantum Batteries
[arXiv] 2026-03-11 | Towards Cold-Start Drafting and Continual Refining: A Value-Driven Memory Approach with Application to NPU Kernel Synthesis
[arXiv] 2026-03-11 | Entanglement distillation based on Hamiltonian dynamics
[arXiv] 2026-03-11 | PivotAttack: Rethinking the Search Trajectory in Hard-Label Text Attacks via Pivot Words
[arXiv] 2026-03-11 | Open quantum systems beyond equilibrium: Lindblad equation and path integral molecular dynamics
[arXiv] 2026-03-11 | Distributed Safety Critical Control among Uncontrollable Agents using Reconstructed Control Barrier Functions
[arXiv] 2026-03-11 | Experiments at the CERN SPS: first signals of deconfinement
[arXiv] 2026-03-11 | On the Reliability of Cue Conflict and Beyond
[arXiv] 2026-03-11 | Evaluating Few-Shot Pill Recognition Under Visual Domain Shift
[arXiv] 2026-03-11 | ReTabSyn: Realistic Tabular Data Synthesis via Reinforcement Learning
[arXiv] 2026-03-11 | Generalised Complex and Spinor Relations
[arXiv] 2026-03-11 | Backdoor Directions in Vision Transformers
[arXiv] 2026-03-11 | On Integral Domains with Prime Divisor Finite Property
[arXiv] 2026-03-11 | AI-Enhanced Spatial Cellular Traffic Demand Prediction with Contextual Clustering and Error Correction for 5G/6G Planning
[arXiv] 2026-03-11 | Large Language Models as Annotators for Machine Translation Quality Estimation
[arXiv] 2026-03-11 | Analysis of the hidden-charm pentaquark candidates in the $J/ψΣ$ mass spectrum via the QCD sum rules
[arXiv] 2026-03-11 | AI-Generated Rubric Interfaces: K-12 Teachers' Perceptions and Practices
[arXiv] 2026-03-11 | A Disguise-and-Squeeze PIR Scheme for the MDS-TPIR Setting and Beyond
[arXiv] 2026-03-11 | Aceso: Carbon-Aware and Cost-Effective Microservice Placement for Small and Medium-sized Enterprises
[arXiv] 2026-03-11 | RAGPerf: An End-to-End Benchmarking Framework for Retrieval-Augmented Generation Systems
[arXiv] 2026-03-11 | Prioritizing Gradient Sign Over Modulus: An Importance-Aware Framework for Wireless Federated Learning
[arXiv] 2026-03-11 | A Python-Based Peeling Framework for Radio Interferometry: Application to uGMRT 650MHz Imaging
[arXiv] 2026-03-11 | Toroidal families and averages of $L$-functions, II: cubic moments
[arXiv] 2026-03-11 | Scaling and Trade-offs in Multi-agent Autonomous Systems
[arXiv] 2026-03-11 | A Grammar of Machine Learning Workflows
[arXiv] 2026-03-11 | eLasmobranc Dataset: An Image Dataset for Elasmobranch Species Recognition and Biodiversity Monitoring
[arXiv] 2026-03-11 | Believing vs. Achieving -- The Disconnect between Efficacy Beliefs and Collaborative Outcomes
[arXiv] 2026-03-11 | EvoSchema: Towards Text-to-SQL Robustness Against Schema Evolution
[arXiv] 2026-03-11 | Fast readout for large scale spin-based qubits
[arXiv] 2026-03-11 | Repurposing Backdoors for Good: Ephemeral Intrinsic Proofs for Verifiable Aggregation in Cross-silo Federated Learning
[arXiv] 2026-03-11 | Probing the ergodicity breaking transition via violations of random matrix theoretic predictions for local observables
[arXiv] 2026-03-11 | Contract And Conquer: How to Provably Compute Adversarial Examples for a Black-Box Model?
[arXiv] 2026-03-11 | MapGCLR: Geospatial Contrastive Learning of Representations for Online Vectorized HD Map Construction
[arXiv] 2026-03-11 | From Education to Evidence: A Collaborative Practice Research Platform for AI-Integrated Agile Development
[arXiv] 2026-03-11 | Surrogate models for nuclear fusion with parametric Shallow Recurrent Decoder Networks: applications to magnetohydrodynamics
[arXiv] 2026-03-11 | Deep learning assisted inverse design of nonreciprocal multilayer photonic structures
[arXiv] 2026-03-11 | Practical Regularized Quasi-Newton Methods with Inexact Function Values
[arXiv] 2026-03-11 | Ergodicity in reinforcement learning
[arXiv] 2026-03-11 | Poisson Sampling over Acyclic Joins
