[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[ACM] 2026-7-3 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[ACM] 2026-7-3 | Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics
[IEEE] 2026-7-3 | Enhancing Blockchain Robustness through Efficient Feedback-Driven Chaos Engineering
[IEEE] 2026-7-3 | GDE: A Generative Diffusion Equalizer for ICSI-Free Semantic Communications in SAGINs
[IEEE] 2026-7-3 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp4-3706679.docx
[IEEE] 2026-7-3 | Magnetic-Mechanical Response Mechanism and Quantitative Stress Characterization Method for Pipelines under Lateral Landslide Loads
[IEEE] 2026-7-3 | Table of Contents
[IEEE] 2026-7-3 | Title Page
[IEEE] 2026-7-3 | Self-Organizing Railway Traffic Management
[IEEE] 2026-7-3 | Adaptive Dual-Layer DRL-Based AI Model Placement, Task Scheduling, and Resource Allocation for Collaborative Edge Inference and Training
[IEEE] 2026-7-3 | Differential Privacy in Generative AI Agents: Analysis and Optimal Tradeoffs
[IEEE] 2026-7-3 | Performance Evaluation of a BGO semi-monolithic detector for preclinical PET imaging
[IEEE] 2026-7-3 | DRAU-Net: Diffusion-based Residual Attention U-Net for Building Image Segmentation_supp1-3708834.pdf
[IEEE] 2026-7-3 | Predicting value of measurement standards using Monte Carlo method
[IEEE] 2026-7-3 | Sponsors
[IEEE] 2026-7-3 | Spotting Setting-Related UI Display Bugs in Android Apps
[IEEE] 2026-7-3 | Distributed Acoustic Sensing for Vehicle Trajectory Tracking: A Model-Based Framework and A Single-Vehicle Field Validation
[ACM] 2026-7-4 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[ACM] 2026-7-4 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[IEEE] 2026-7-3 | A Switched Inductor-Capacitor Power Amplifier Supporting 100MHz 256-QAM
[IEEE] 2026-7-3 | Single-Phase Rectifier for a 3.3 kW Pulse Power Load
[IEEE] 2026-7-3 | A Dual-Band Bandpass Filter with Two Symmetrically Folded Stepped Impedance Resonators and Two Centrally Protruded Openended Stubs for the Application in WLAN Systems
[IEEE] 2026-7-3 | Streamlined Parameter Estimation for Induction Motors Using an Auto-Tuning Approach with DSP Integration
[IEEE] 2026-7-3 | A Novel Boundary Aware Semi-Supervised Adversarial Learning Framework for Region-of-Interest Extraction from High Resolution Remote Sensing Images
[IEEE] 2026-7-3 | UzbNerCorpus: A Named Entity Recognition Corpus Creation System For The Uzbek Language
[IEEE] 2026-7-3 | Land Use Approach for High-Resolution Spatial Modeling of Industrial Emissions
[IEEE] 2026-7-3 | EEG-Based Sleep Stage Classification Using Ensemble Method with Cross-Validation
[IEEE] 2026-7-3 | Intelligent System for Monitoring Copper Content in Slag for Pyrometallurgical Production Based on ML Model Training
[IEEE] 2026-7-3 | Inter-Operator Interference Assessment for 5G Networks at 2.1GHz in High-Speed Railway Scenarios
[IEEE] 2026-7-3 | Development of a Deep Anisotropic Reactive-Ion Etching Process for Silicon to Support the Fabrication of Microfluidic Devices
[IEEE] 2026-7-3 | A Cross-Condition Analysis of Current Profile Impact on Lithium-Ion Battery Model Parameterization
[IEEE] 2026-7-3 | Enhancing PV Efficiency: Single-Stage, Five-Level Transformer-Less Inverter with Modular Structure
[IEEE] 2026-7-3 | DXInject: GPU-Based Payload Transport and Execution via DirectX Compute Shaders
[IEEE] 2026-7-3 | Circle Fitting by a Weighted Least Squares Method: An Analysis and New Improvements
[IEEE] 2026-7-3 | Microwave Monolithic Digital Step Attenuator Sections Layout Synthesis Based on Evolutionary Algorithms
[IEEE] 2026-7-3 | A Novel Approach of Wireless Connection in Multichannel Receive MRI Coils
[IEEE] 2026-7-3 | Compact Modeling of the Capacitance Temperature Dependence of a Hyperabrupt P-N Junction
[IEEE] 2026-7-3 | $H_{\infty}$ Optimal Output Regulation of Unknown Linear Systems via an Adaptive Dynamic Programming and Internal Model
[IEEE] 2026-7-3 | ESP32 Edge Framework-Based IoT-Powered Smart Battery Monitoring and Safety System with Multi-Sensor Protection
[IEEE] 2026-7-3 | Automatic Color Identification System Using Optical Prototype and Artificial Intelligence
[IEEE] 2026-7-3 | Mapping Burned Areas with Remote Sensing Techniques: A GIS Based Study of the 2025 Monte Sara Forest Fire (Sicily, Italy)
[IEEE] 2026-7-3 | Development of Combined Interpretable Topic Classification Algorithm for Uzbek News
[IEEE] 2026-7-3 | Neural Network Solutions for Forecasting and Managing Workforce Flows for the Russian Arctic Zone: An Integrated Graph-Transformer Approach
[IEEE] 2026-7-3 | Smart-MQTT: QoS-Adaptive MQTT Middleware for Energy Efficient IoT Systems
[IEEE] 2026-7-3 | Communication Prior Guided Multimodal Framework for Open Set Modulation Recognition: A Semantic Perspective
