[2026-08-27 02:58:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[arXiv] 2026-08-26 | Difficulty-Aware Sample Allocation for Adaptive Data Augmentation in Semantic Segmentation
[arXiv] 2026-08-26 | Fairness-Aware Test-Time Prompt Tuning
[arXiv] 2026-08-26 | Fast rates in Bayesian online learning with approximate posteriors
[arXiv] 2026-08-26 | Signal formation and induction-gap optimization in a THGEM coupled to a resistive plate anode
[arXiv] 2026-08-26 | Stringent Constraints on Spin-Spin-Velocity-Dependent Exotic Interactions with a Levitated Magnet Force Sensor
[arXiv] 2026-08-26 | Chirality-Selective Phonon Pumping by Ferroelectric Dynamics
[arXiv] 2026-08-26 | The high dimensional monostable reaction-diffusion equation with free boundary and radial symmetry
[arXiv] 2026-08-26 | Overview of SHROOM-Visions 2026: A Shared Task on Hallucination Detection in Large Vision-Language Models
[arXiv] 2026-08-26 | Narcissus: Program Synthesis Using Context-Aware LLM Approximations
[arXiv] 2026-08-26 | Phase calibration of quantum oscillations in the magnetostrictive coefficient using the topological antiferromagnet YbMnBi$_2$
[arXiv] 2026-08-26 | Stable Symmetric Series, Differential Operators, and Jack Deformations
[arXiv] 2026-08-26 | AutoVerifier: Residual-Guided Non-Parametric Optimization for Reference-Based Answer Verification
[arXiv] 2026-08-26 | The integral homology of $\text{SL}_2(\mathbb{Z}[1/n])$
[arXiv] 2026-08-26 | Distinguishing cold and self-interacting dark matter through topological analysis
[arXiv] 2026-08-26 | SeVeR: Selective Visual Exposure and Retrieval for 3D Medical Image Question Answering
[arXiv] 2026-08-26 | Closed-form hard-sphere thermodynamics under nanoscale confinement: from equations of state to unmixing forces
[arXiv] 2026-08-26 | Contravariantly finite resolving subcategories over commutative local rings are trivial ones
[arXiv] 2026-08-26 | AWM: Answerable Working Memory for Long-Document VQA Agents
[arXiv] 2026-08-26 | Nearly Isotropic Quantum-Critical Transport in Single-Crystal CeNiC2
[arXiv] 2026-08-26 | Absolute colimits
[arXiv] 2026-08-26 | Frequency-aware forecasting for short-term typhoon gust prediction
[arXiv] 2026-08-26 | Multi-UE Networked Sensing: A New Paradigm for 6G Perceptive Mobile Networks
[arXiv] 2026-08-26 | Development and Commissioning of the Cryogenic Target Detectors for the Technical Run of the NUCLEUS Experiment
[arXiv] 2026-08-26 | RA-VLA: Retrieval-Augmented VLA for Test-Time Adaptation
[arXiv] 2026-08-26 | GRIP: Granular Reward-Guided Parameter Interpolation for Efficient Reasoning
[arXiv] 2026-08-26 | Threshold spectral transition for a fermion-boson pair on the one-dimensional lattice
[arXiv] 2026-08-26 | Are Concept Bottleneck Models Effective as Decision-Support Systems?
[arXiv] 2026-08-26 | On the Multiplicative Thom-Sebastiani Property for Bernstein-Sato Polynomials of Ideals
[arXiv] 2026-08-26 | DBcover: A White-box SQL Test Generation Framework for Coverage Improvement
[arXiv] 2026-08-26 | Combined High-Dimensional and Reduced-Order Modeling Based on an Iterative Domain Decomposition Method
[arXiv] 2026-08-26 | Physics-Informed Foresight Pruning for Sparse PINN Solvers of Nonlinear PDEs
[arXiv] 2026-08-26 | EgoArgus: Benchmarking VLMs as Situational Assistants for Modality-Grounded User Supports
[arXiv] 2026-08-26 | Sequential Magnetic Reconnections in a Fishbone-like Structure Leading to Recurrent Brightenings
[arXiv] 2026-08-26 | A Hybrid Usability Approach for Rating Evaluation of M-Commerce Applications
[arXiv] 2026-08-26 | Robust watt-level continuous-wave deep-ultraviolet lasers near 230 nm
[arXiv] 2026-08-26 | Goodput Maximization for Large Language Model Edge Inference: A Two-Phase Maskable PPO Approach
[arXiv] 2026-08-26 | Defect states in three-dimensional diamond photonic band gap crystals
[arXiv] 2026-08-26 | Preconditioning for Diffuse Interface Tumor Growth Models
[arXiv] 2026-08-26 | Video-IFBench: Evaluating Instruction Following of Multimodal LLMs in Video Understanding Scenarios
[arXiv] 2026-08-26 | Rare Exclusive Top Decays t , b M and Vector-Meson Helicity
[arXiv] 2026-08-26 | High-Fidelity Entangled States in a Connectivity-Four Fluxonium Quantum Processor
[arXiv] 2026-08-26 | CaSKG: Counterfactual-Causal Skill Graphs for Scalable Agent Skill Retrieval
[arXiv] 2026-08-26 | MMJailBench: A Factorized Benchmark for Disentangling Multimodal Jailbreak Vulnerabilities
[arXiv] 2026-08-26 | Semi-Supervised Adaptation of Vision-Language Models for Image Classification
[arXiv] 2026-08-26 | Gaussian Splatting Underwater: A Controlled Cross-Regime Study
[arXiv] 2026-08-26 | Parity-controlled electron-hole interference in exciton-phonon coupling
[arXiv] 2026-08-26 | Synthesis of Hopfield Neural Network: Novel Results
[arXiv] 2026-08-26 | 4DStreamCtrl: Interactive Video Generation with Online 4D Control
[arXiv] 2026-08-26 | Interpretable Activation-Selection Neural Networks for Symbolic Regression of Parameter-Dependent Hamiltonian Eigenvalues
[arXiv] 2026-08-26 | Transient multimode heat transfer of an industrial automated tape laying process under rapidly changing conditions
[arXiv] 2026-08-26 | Hierarchical Shared Memory-Aware Optimization for TRSM on GPU Platforms
[arXiv] 2026-08-26 | Resolving Multi-Modal Regression by Difference-Quotient-Based Clustering:Fast Coarse Conditional-Label Assignment
[arXiv] 2026-08-26 | Evidence for a spectral steepening of the gamma-ray emission from the Galactic Center ridge
[arXiv] 2026-08-26 | Quasimaps to Nakajima varieties as critical loci
[arXiv] 2026-08-26 | Candidate supply and answer selection shape the value of LLM judging in multi-agent systems
[arXiv] 2026-08-26 | When Composition Doesn't Add Up: Humans Identifying Defects in AI-Generated Images
[arXiv] 2026-08-26 | Size and Impurity Effects on Scattering of Valley Hall Modes in Gate-Defined Bilayer Graphene Superlattices
[arXiv] 2026-08-26 | Magic of Kitaev spin liquids
[arXiv] 2026-08-26 | A place for stabilization alongside tipping cascades: the AMOC-cryosphere system
[arXiv] 2026-08-26 | An Inverse Lyth Bound for Non-Attractor Inflation
[arXiv] 2026-08-26 | Forecasting Multiple Observables with SCROLL: Score-Trained Uncertainty for Stochastic Dynamics
[arXiv] 2026-08-26 | The Cœuré-Loeb example as an open subset of a Stein space
[arXiv] 2026-08-26 | A Hybrid Security Framework for Mini-Programs: Visual UI Compliance and Network Risk Assessment
[arXiv] 2026-08-26 | Topological phases of a generalised tripartite Haldane model
[arXiv] 2026-08-26 | Mode stability for the scalar wave equation on subextremal Kerr-de Sitter spacetimes
[arXiv] 2026-08-26 | Instability of Böhm's Einstein metrics
[arXiv] 2026-08-26 | A unified approach to the divergence equation and related functional inequalities
[arXiv] 2026-08-26 | Vacuum energy problem in anti-de Sitter space
[arXiv] 2026-08-26 | Precipitation Downscaling Using Foundation Model-Conditioned Diffusion
[arXiv] 2026-08-26 | Why ML-based cough models do not generalize: a systematic cross-dataset evaluation for tuberculosis screening
[arXiv] 2026-08-26 | Hard-Constrained Sampling on Embedded Riemannian Manifolds via Adjoint Schrödinger Bridges
[arXiv] 2026-08-26 | Adaptive Nesterov Momentum Method for Electrical Impedance Tomography with the Complete Electrode Model
[arXiv] 2026-08-26 | Skill Issue: Are Skills Language-Invariant in LLMs?
[arXiv] 2026-08-26 | Mass-anisotropy driven stripe pattern formation and directional modulational instability in polariton condensate
[arXiv] 2026-08-26 | Localize-Then-Decide Guarantees for LLM Judgments
[arXiv] 2026-08-26 | Regularity, quantitative deviation, and non-rigidity of a lacunary skew product
[arXiv] 2026-08-26 | Canalization Before Generalization: Grokking as a Dynamical Probe
[arXiv] 2026-08-26 | Beyond Minimum Distance: The Optimal Leading Coefficient in the High-SNR Error-Probability Expansion for AWGN Spherical Codes
[arXiv] 2026-08-26 | STXM-XANES and TEM analysis of UltraCarbonaceous Antarctic MicroMeteorites (UCAMMs)
[arXiv] 2026-08-26 | Asymptotic enumeration of minimally transitive permutation groups
[arXiv] 2026-08-26 | Sequential Stability of the Value Function and the Solution Mapping in Berge's Maximum Theorem via Variational Convergence
[arXiv] 2026-08-26 | Quantum sampling in hybrid light-matter systems with mixed statistics
[arXiv] 2026-08-26 | UNION: A Unified AC-OPF Framework for Topology-Varying Real-Time Grid Operation
[arXiv] 2026-08-26 | LocalLSTC: A Long Short-Term Control Architecture for Locally Deployed GUI Agents
[arXiv] 2026-08-26 | Pooling Mobility Obscures Epidemic Invasion Routes
[arXiv] 2026-08-26 | Can circumbinary discs produce the eccentricities of shell-burning stripped giant binaries?
[arXiv] 2026-08-26 | Beam Search, Self-Consistency, and the Limits of Inference-Time Scaling for Grammar-Constrained Text-to-SQL in Small Language Models
[arXiv] 2026-08-26 | Learning from waste: Machine Learning for health risk prediction and computer vision-based sorting in Ghana
[arXiv] 2026-08-26 | Quantum Blackhole Learning-Optimized Hadamard Neural Network Model for Dynamic Resource Reservation in Industry Clouds
[arXiv] 2026-08-26 | On the isolation numbers in graph products
[arXiv] 2026-08-26 | Lipid Hydrocarbon Tail Structure Governs Interfacial Anchoring and Stripe Morphology in Cholesteric Liquid Crystals
[arXiv] 2026-08-26 | Error Analysis of the Inverse Conductivity Problem with Scattered Measurements
[arXiv] 2026-08-26 | MIMONet: Multi-scale Input and Multi-scale Output Network for Salient Object Detection
[arXiv] 2026-08-26 | PCB-Integrated CoPt Micromagnets for Magnetophoresis
[arXiv] 2026-08-26 | Agnostic Sequential Rationality
[arXiv] 2026-08-26 | From Verdict to Diagnosis: Attributable Security Review of Pull Requests
[arXiv] 2026-08-26 | Observation of thermal Hall effect in diamond
[arXiv] 2026-08-26 | Lower bounds on the spatial decay of the ground state of the Pauli-Fierz model
[arXiv] 2026-08-26 | Estimation of a regression function from dependent data by over-parametrized deep neural networks learned by gradient descent
[arXiv] 2026-08-26 | Almost-linear Zarankiewicz bounds in $1$-semi-equational theories
[arXiv] 2026-08-26 | GLOSS: Geometric Local Self-Similarity Learning for Faithful Reference-Guided Texture Fill
[arXiv] 2026-08-26 | Training Alignment Auditors via Reinforcement Learning
[arXiv] 2026-08-26 | A calibrated dust-trail model of the Leonid meteoroid stream and forecasts of the 2031-2035 encounters
[arXiv] 2026-08-26 | Competing Soft Modes and Tunable Multicriticality in a Generalized Two-Mode Quantum Rabi Model
[arXiv] 2026-08-26 | Characterization of Maximal Left-Compressed Intersecting Families Generated by a Single Generator
[arXiv] 2026-08-26 | VGA-BenchV2: An Expanded Unified Benchmark and Multi-Model Framework for Evaluating Video Aesthetics and Generation Quality
[arXiv] 2026-08-26 | Assessing the Climate and Habitability of Tidally Locked Rocky Exoplanets
[arXiv] 2026-08-26 | Energy Yield and Lifetime Climate Classification via Machine Learning for Optimizing Photovoltaic Module Design and Materials
[arXiv] 2026-08-26 | Tautological Pushforwards of Hilbert Schemes of Points on Curves and Surfaces
[arXiv] 2026-08-26 | Continuous Computational Social Choice: A Case Study in Bribery
[arXiv] 2026-08-26 | Saliency-Depth Conditioning for Zero-Shot Segmentation of Communication-Tower Components in Cluttered UAV Imagery
[arXiv] 2026-08-26 | BeamGuard: Risk-Aware Multimodal Beam Forecasting and Adaptive Virtual Beamwidth Control for 6G mmWave V2I Links
[arXiv] 2026-08-26 | Distance Is Not Enough: Forget-Retain Alignment Gap Predicts LLM Relearning Robustness
[arXiv] 2026-08-26 | SUPER ODOMETRY 2.0: Resilient Odometry via Hierarchical Adaptation
[arXiv] 2026-08-26 | {poscosea} : A Computationally Efficient Sensitivity Analysis for Bayesian Models using the posterior covariance representation
[arXiv] 2026-08-26 | RotDroid: Cross-Orientation State Equivalence Testing for Detecting GUI Rotation Bugs in Android Apps
[arXiv] 2026-08-26 | Rigid analytic 1-motives and conjugate uniformization of abeloid varieties
[arXiv] 2026-08-26 | Existence, uniqueness and long-time behavior of the $λ$-dissipative solutions to the two-component Hunter-Saxton system
[arXiv] 2026-08-26 | AdaptiveEmbed: Sample-Adaptive Multi-Vector Representation for Multimodal Retrieval
[arXiv] 2026-08-26 | Retry Amplification in Distributed Systems: A Systematic Analysis of Retry Policies and Their Role in Cascading Failures
[arXiv] 2026-08-26 | Topological String Blowup Equations via Stable Pairs
[arXiv] 2026-08-26 | End-to-End Mobility-Aware Multi-RIS Optimization via Blockage Detection and Closed-Form Riemannian Updates
[arXiv] 2026-08-26 | A meta-algorithm for ab initio reconstruction of complex mixtures in cryo-EM
[arXiv] 2026-08-26 | Efficient Training with Foresight: Multi-Token Auxiliary Supervision for Autoregressive Image Generation
[arXiv] 2026-08-26 | Traffic-Adaptive Per-Hop Multipath Routing in Multi-Hop UAV Networks
[arXiv] 2026-08-26 | Q&A or Document-Based? The Effects of Interface Type on How Screen Reader Users Access Interconnected Documents
[arXiv] 2026-08-26 | Feasibility demonstration of a high-momentum, high-purity muon beamline at the J-PARC Hadron Experimental Facility
[arXiv] 2026-08-26 | A 3D Summation-by-Parts scheme on a Hyperboloidal Foliation of Minkowski
[arXiv] 2026-08-26 | Well and badly approximable sets, and rapid winning
[arXiv] 2026-08-26 | Short Horizons and Sparse Concepts: a Mathematical View of the Readout in the J-lens
[arXiv] 2026-08-26 | BOOSTEDSOSA: Accelerated Inferencing for Low Variance Stochastic Online Scheduling
[arXiv] 2026-08-26 | Provenance Before Prose: Claim-Locked Reporting
[arXiv] 2026-08-26 | New non-quadratic Euclidean complete affine maximal type hypersurfaces via Calabi affine geometry
[arXiv] 2026-08-26 | FinRiskAtlas: Decision-Aligned Evaluation of Large Language Models for Financial Risk Review
[arXiv] 2026-08-26 | Beyond linear stability: Heterogeneity-induced fingering of crack fronts
