[2026-03-04 09:28:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Odin: Multi-Signal Graph Intelligence for Autonomous Discovery in Knowledge Graphs
[arXiv] 2026-03-03 | Proactive Guiding Strategy for Item-side Fairness in Interactive Recommendation
[arXiv] 2026-03-03 | Orthogonal polynomials in de Branges--Rovnyak spaces
[arXiv] 2026-03-03 | Resolving the Kohayakawa-Kreuter Conjecture for Families
[arXiv] 2026-03-03 | Safe and Robust Domains of Attraction for Discrete-Time Systems: A Set-Based Characterization and Certifiable Neural Network Estimation
[arXiv] 2026-03-03 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[arXiv] 2026-03-03 | From Reachability to Learnability: Geometric Design Principles for Quantum Neural Networks
[arXiv] 2026-03-03 | On Simon's third gap conjecture for minimal surfaces in spheres
[arXiv] 2026-03-03 | Universal approximation by signatures for infinite-dimensional rough paths
[arXiv] 2026-03-03 | First-order transition into a topological superfluid state in an atom-cavity system
[arXiv] 2026-03-03 | Asymptotic Analysis of Laplacian Operator in Thin Domains on the Sphere with Highly Oscillatory Boundary
[arXiv] 2026-03-03 | BRIGHT: A Collaborative Generalist-Specialist Foundation Model for Breast Pathology
[arXiv] 2026-03-03 | MA-CoNav: A Master-Slave Multi-Agent Framework with Hierarchical Collaboration and Dual-Level Reflection for Long-Horizon Embodied VLN
[arXiv] 2026-03-03 | The Evolution of X-ray Spectra in Tidal Disruption Events
[arXiv] 2026-03-03 | Focused Weighted-Average Least Squares Estimator
[arXiv] 2026-03-03 | SpatialText: A Pure-Text Cognitive Benchmark for Spatial Understanding in Large Language Models
[arXiv] 2026-03-03 | Why Does RLAIF Work At All?
[arXiv] 2026-03-03 | CASSR: Continuous A-Star Search through Reachability for real time footstep planning
[arXiv] 2026-03-03 | Variance reduction in lattice QCD observables via normalizing flows
[arXiv] 2026-03-03 | Contextualized Privacy Defense for LLM Agents
[arXiv] 2026-03-03 | Well-posedness, mean attractors and invariant measures of stochastic discrete long-wave-short-wave resonance equations driven by locally Lipschitz nonlinear noise
[arXiv] 2026-03-03 | Enhancing Physics-Informed Neural Networks with Domain-aware Fourier Features: Towards Improved Performance and Interpretable Results
[arXiv] 2026-03-03 | ACE-Merging: Data-Free Model Merging with Adaptive Covariance Estimation
[arXiv] 2026-03-03 | Data-Driven Prediction of Chaotic Transition in Periapsis Poincaré Maps
[arXiv] 2026-03-03 | On the Structural Limitations of Weight-Based Neural Adaptation and the Role of Reversible Behavioral Learning
[arXiv] 2026-03-03 | Mind the Gap: Where Analog Ising Machines Lose Sight of their Optimization Objective
[arXiv] 2026-03-03 | A simple scheme to realize the Rice-Mele model in acoustic system
[arXiv] 2026-03-03 | Fingerprint Recognition of Partial Discharge Signals in Deep Learning Enhanced Rydberg Atomic Sensors
[arXiv] 2026-03-03 | SAE as a Crystal Ball: Interpretable Features Predict Cross-domain Transferability of LLMs without Training
[arXiv] 2026-03-03 | Harmonic Beltrami Signature Network: a Shape Prior Module in Deep Learning Framework
