[2026-07-22 23:03:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-21
正在获取论文...
[arXiv] 2026-07-21 | DBMol: Design of High-Affinity, Target-Specific Small Molecules through Structure Prediction Models
[arXiv] 2026-07-21 | NAPTIME: A Neural-Process Framework for Rubin Alert Classification
[arXiv] 2026-07-21 | An interaction potential method for passive and active dynamics of hyperelastic materials
[arXiv] 2026-07-21 | Will a Supernova explode in CD-30°11223?
[arXiv] 2026-07-21 | Squeezing the Most Out of Preemption for AoI Minimization: Single-source Case
[arXiv] 2026-07-21 | ATLAS: A Foundation Neural Sampler for Amorphous Materials
[arXiv] 2026-07-21 | Bound state solutions of the Schrödinger equation for the atomic systems interacting with the radial screened Coulomb potential: analytical approximation methods
[arXiv] 2026-07-21 | STL-GCS: A Planner-Controller Framework for Signal Temporal Logic via Graphs of Time-varying Convex Sets
[arXiv] 2026-07-21 | Hopficity of profinite completions of abelian groups
[arXiv] 2026-07-21 | ABot-World-0: Infinite Interactive World Rollout on a Single Desktop GPU
[arXiv] 2026-07-21 | Spiking Neural Networks for fMRI-Based Visual Semantic Decoding
[arXiv] 2026-07-21 | Boundary-Adapted PINNs for Elliptic Dirichlet Problems: $H^2(Ω)$ A Priori Error Bounds with Application to Mean Escape Time Computation
[arXiv] 2026-07-21 | A coalgebraic higher-order modal fixed-point logic
[arXiv] 2026-07-21 | Direct Spatiotemporal Imaging of Charge Carrier Dynamics in Operative Semiconductor Devices
[arXiv] 2026-07-21 | Plasma-Induced Modifications of the Shadows of Rotating Bardeen Black Holes with Perfect Fluid Dark Matter
[arXiv] 2026-07-21 | Job-level Carbon and Water Footprint Estimation for HPC: Bias Assessment from Runtime to Full Life Cycle
[arXiv] 2026-07-21 | A wormhole with two black holes
[arXiv] 2026-07-21 | Active Disturbance Rejection for Boundary Control Systems
[arXiv] 2026-07-21 | Gravity-Induced Entanglement of Quantum Clocks as a Signature of Genuinely Quantum Local Position Invariance
[arXiv] 2026-07-21 | Market tallies: minimal information for efficient trade
[arXiv] 2026-07-21 | Maximal subextension of $m$-subharmonic functions
[arXiv] 2026-07-21 | Conspiracy Theory Rabbit Holes Emerge via Interacting Contagions
[arXiv] 2026-07-21 | One Model, Many Graphs: Learning over Attributed Graphs across Heterogeneous Modalities with Vision-Language Models
[arXiv] 2026-07-21 | Invariants of the extended twisted $h$-Yangian
[arXiv] 2026-07-21 | Fast reconstruction of tensor tomographic X-ray scattering data for real-time applications
[arXiv] 2026-07-21 | Dynamical formation of long-period exoplanets systems in evolving binary stars
[arXiv] 2026-07-21 | CR-Refiner: An Object-Centric Optimal Transport Reranker for Edit-Conditioned 3D Scene Retrieval
[arXiv] 2026-07-21 | Modes in Transitional Millisecond Pulsars: Evidence of Pulsar Wind-Induced Disk Heating from GRMHD and Radiative Transfer
[arXiv] 2026-07-21 | GATE-3D: Geometry-Aware Test-time Adaptive Reranking for Open-Set 3D Shape Retrieval
[arXiv] 2026-07-21 | Translation as Augmentation: Effect of Translated Data on Assessment of Difficulty
[arXiv] 2026-07-21 | FlexiAvatar: Unified 3D Gaussian Human Avatars Under Arbitrary Body Visibility
[arXiv] 2026-07-21 | Doping tunable charge density waves in misfit layer compounds
[arXiv] 2026-07-21 | Structured Spectral Compression based Low-Bitrate Secure Speech Communications for Internet of Things assisted Non-Terrestrial Networks
[arXiv] 2026-07-21 | DAIS: Dependency-Aware Intermediate QA Supervision for Complex Reasoning
[arXiv] 2026-07-21 | The Influence Function of Transport-based Quantiles
[arXiv] 2026-07-21 | On the Effectiveness of Pretraining for Graph Combinatorial Optimization
[arXiv] 2026-07-21 | Delineate Anything v2: A Global Foundation Model for Field Delineation
[arXiv] 2026-07-21 | Metric completion of the Bender--Brody--Müller Hamiltonian: dilation spectrum and missing eigenstates
[arXiv] 2026-07-21 | The Research and Development of New Electronics Systems and Testing on the JNE-1ton Prototype Detector
[arXiv] 2026-07-21 | Quality Action Assurance: Multimodal Verification of Examiner Claims in VR OSCEs
[arXiv] 2026-07-21 | Vector-Bench: Can Models Surgically Edit SVG Code?
[arXiv] 2026-07-21 | A Bayesian Approach to Causal Cure Models
[arXiv] 2026-07-21 | Benchmarking Human and Automatic Speech Recognition of Diverse Speech: Initial Results
[arXiv] 2026-07-21 | Contrastive On-Policy Distillation
[arXiv] 2026-07-21 | CoGoal3D: Collaborative 3D Object Detection with 3D-Aware Fusion and Refinement
[arXiv] 2026-07-21 | Analysis Preservation and Reproducibility in Collider Physics: An ADL/CutLang Implementation of ATLAS Open Data Analyses
