[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[arXiv] 2026-04-02 | PRO-SPECT: Probabilistically Safe Scalable Planning for Energy-Aware Coordinated UAV-UGV Teams in Stochastic Environments
[arXiv] 2026-04-02 | Attention Mechanisms Through the Lens of Numerical Methods: Approximation Methods and Alternative Formulations
[arXiv] 2026-04-02 | Quadratic gravity corrections to scalar QNMs of rapidly rotating black holes
[arXiv] 2026-04-02 | Bounded Ramsey's theorem for triples in computability theory
[arXiv] 2026-04-02 | Answering the Wrong Question: Reasoning Trace Inversion for Abstention in LLMs
[arXiv] 2026-04-02 | One-Shot Secret Sharing with Monotone Access Structures over Classical-Quantum Broadcast Channels
[arXiv] 2026-04-02 | Blinded Radiologist and LLM-Based Evaluation of LLM-Generated Japanese Translations of Chest CT Reports: Comparative Study
[arXiv] 2026-04-02 | Random-Subspace Sequential Quadratic Programming for Constrained Zeroth-Order Optimization
[arXiv] 2026-04-02 | Towards Position-Robust Talent Recommendation via Large Language Models
[arXiv] 2026-04-02 | A Pragmatist Understanding of Quantum Mechanics
[arXiv] 2026-04-02 | What can be computed in average anonymous networks?
[arXiv] 2026-04-02 | TRU: Targeted Reverse Update for Efficient Multimodal Recommendation Unlearning
[arXiv] 2026-04-02 | Adam's Law: Textual Frequency Law on Large Language Models
[arXiv] 2026-04-02 | Simulations of internal kink modes and sawtooth crashes for SPARC baseline-like scenarios using the M3D-C1 code
[arXiv] 2026-04-02 | Reflection Generation for Composite Image Using Diffusion Model
[arXiv] 2026-04-02 | Data-Driven Tube-Based Zonotopic Predictive Control With Nonconvex Layered Terminal Sets
[arXiv] 2026-04-02 | Conservative flux reconstruction for an elliptic interface problem using CutFEM
[arXiv] 2026-04-02 | TRACE-Bot: Detecting Emerging LLM-Driven Social Bots via Implicit Semantic Representations and AIGC-Enhanced Behavioral Patterns
[arXiv] 2026-04-02 | Application of parametric Shallow Recurrent Decoder Network to magnetohydrodynamic flows in liquid metal blankets of fusion reactors
[arXiv] 2026-04-02 | Characteristic numbers of canonical toric manifolds and their applications
[arXiv] 2026-04-02 | A forward-angle large-acceptance magnetic spectrometer
[arXiv] 2026-04-02 | Semantic Evolution over Populations for LLM-Guided Automated Program Repair
[arXiv] 2026-04-02 | Effective Field Theory for Superconducting Phase Transitions
[arXiv] 2026-04-02 | Safe Control of Feedback-Interconnected Systems via Singular Perturbations
[arXiv] 2026-04-02 | Intelligent Cloud Orchestration: A Hybrid Predictive and Heuristic Framework for Cost Optimization
[arXiv] 2026-04-02 | SEAL: An Open, Auditable, and Fair Data Generation Framework for AI-Native 6G Networks
