[2026-04-28 22:57:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-27
正在获取论文...
[arXiv] 2026-04-27 | The Last Human-Written Paper: Agent-Native Research Artifacts
[arXiv] 2026-04-27 | Benefits and Costs of Adaptive Sampling
[arXiv] 2026-04-27 | Electrical tunability of terahertz nonlinearity in graphene
[arXiv] 2026-04-27 | K-MetBench: A Multi-Dimensional Benchmark for Fine-Grained Evaluation of Expert Reasoning, Locality, and Multimodality in Meteorology
[arXiv] 2026-04-27 | Workplace Demands and Emotional Expression Among Early Childhood Educators: A Computational Analysis of Professional Online Discourse
[arXiv] 2026-04-27 | DiffQEC: A versatile diffusion model for quantum error correction
[arXiv] 2026-04-27 | Meta-CoT: Enhancing Granularity and Generalization in Image Editing
[arXiv] 2026-04-27 | NeSyCat: A Monad-Based Categorical Semantics of the Neurosymbolic ULLER Framework
[arXiv] 2026-04-27 | Evaluation of Pose Estimation Systems for Sign Language Translation
[arXiv] 2026-04-27 | Children's Online Safety Risks and Ethical Considerations in XR Games
[arXiv] 2026-04-27 | DETOUR: A Practical Backdoor Attack against Object Detection
[arXiv] 2026-04-27 | Mass spectra of charged mesons and the quenching of vector meson condensation via exact phase-space diagonalization
[arXiv] 2026-04-27 | A Six-Term Functional Equation and a Quartic Dilogarithm Ladder
[arXiv] 2026-04-27 | Point-MF: One-step Point Cloud Generation from a Single Image via Mean Flows
[arXiv] 2026-04-27 | Pair-Dependent Drift of Kerr Neighboring-Overtone Gap Minima
[arXiv] 2026-04-27 | Improving Vision-language Models with Perception-centric Process Reward Models
[arXiv] 2026-04-27 | Measuring the Unmeasurable: Markov Chain Reliability for LLM Agents
[arXiv] 2026-04-27 | Hybrid Path-Sums for Hybrid Quantum Programs
[arXiv] 2026-04-27 | Diffusion Model as a Generalist Segmentation Learner
[arXiv] 2026-04-27 | Commutation classes of reduced words and higher Bruhat orders for affine permutations
[arXiv] 2026-04-27 | Limiter Spaces: A Universal Extension for Limits of Real Sequences
[arXiv] 2026-04-27 | The Main Problem of Block Theory: Picky Elements and Subnormalizers
[arXiv] 2026-04-27 | MEG-RAG: Quantifying Multi-modal Evidence Grounding for Evidence Selection in RAG
[arXiv] 2026-04-27 | Towards Lawful Autonomous Driving: Deriving Scenario-Aware Driving Requirements from Traffic Laws and Regulations
[arXiv] 2026-04-27 | Optimization of two-photon excitation by indistinguishable photons in a three-level atom
[arXiv] 2026-04-27 | Algebraic expansivity on abelian groups
[arXiv] 2026-04-27 | Energetics of stochastic limit-cycle oscillators: when does coupling reduce dissipation?
[arXiv] 2026-04-27 | GradMAP: Gradient-Based Multi-Agent Proximal Learning for Grid-Edge Flexibility
[arXiv] 2026-04-27 | Extreme bandits
[arXiv] 2026-04-27 | Quantization-Aware EE Optimization and SE-EE Tradeoff for MiLAC-Aided MU-MISO Beamforming
[arXiv] 2026-04-27 | Search for associated production of a Higgs boson and two vector bosons via vector boson scattering at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-04-27 | Understanding the Limits of Automated Evaluation for Code Review Bots in Practice
[arXiv] 2026-04-27 | Point Cloud Registration for Fusion between SPECT MPI and CTA Images
[arXiv] 2026-04-27 | NTP2 topological structures
[arXiv] 2026-04-27 | Sliding Mode Control for Safe Trajectory Tracking with Moving Obstacles Avoidance: Experimental Validation on Planar Robots
[arXiv] 2026-04-27 | Self-Supervised Representation Learning via Hyperspherical Density Shaping
[arXiv] 2026-04-27 | Deployment-Aligned Low-Precision Neural Architecture Search for Spaceborne Edge AI
[arXiv] 2026-04-27 | Integral representation of polynomial local functionals on convex functions
[arXiv] 2026-04-27 | Blur Effects on User Performance in Target-Pointing Tasks
[arXiv] 2026-04-27 | Agentic clinical reasoning over longitudinal myeloma records: a retrospective evaluation against expert consensus
[arXiv] 2026-04-27 | Zero-shot Large Language Models for Automatic Readability Assessment
[arXiv] 2026-04-27 | A Survey on Split Learning for LLM Fine-Tuning: Models, Systems, and Privacy Optimizations
[arXiv] 2026-04-27 | Adaptive Tensor Network Sampling for Quantum Optimal Control
[arXiv] 2026-04-27 | TextGround4M: A Prompt-Aligned Dataset for Layout-Aware Text Rendering
[arXiv] 2026-04-27 | Thermodynamic Parametrisation of the Vertebrate Lifetime Cycle Invariant: Biological Proper Time, Allometric Mass-Cancellation, and Clade-Specific Predictions
[arXiv] 2026-04-27 | On the Footprints of Reviewer Bots Feedback on Agentic Pull Requests in OSS GitHub Repositories
[arXiv] 2026-04-27 | Envisioning Mobile Data Visualization Libraries for Digital Health
[arXiv] 2026-04-27 | Energy spectrum of magnetic fields from electroweak symmetry breaking
[arXiv] 2026-04-27 | Can You Make It Sound Like You? Post-Editing LLM-Generated Text for Personal Style
[arXiv] 2026-04-27 | Weighted Directional Total Nuclear Variation for Joint Yttrium-90 PET/SPECT Reconstruction with CTAC-derived Guidance
[arXiv] 2026-04-27 | DYMAPIA: A Multi-Domain Framework for Detecting AI-based Video Manipulation
[arXiv] 2026-04-27 | The linear Elasticity complex: a natural formulation
[arXiv] 2026-04-27 | BMD-45: A Large-Scale CCTV Vehicle Detection Dataset for Urban Traffic in Developing Cities
[arXiv] 2026-04-27 | Vectorial Acoustic Multiplexed Holography
[arXiv] 2026-04-27 | Gravitational waves of extreme-mass-ratio inspirals in a rotating black hole with Dehnen dark matter halo
[arXiv] 2026-04-27 | Note on polychromatic coloring of hereditary hypergraph families II
[arXiv] 2026-04-27 | All That Glitters Is Not Audio: Rethinking Text Priors and Audio Reliance in Audio-Language Evaluation
[arXiv] 2026-04-27 | Few-Shot Cross-Device Transfer for Quantum Noise Modeling on Real Hardware
[arXiv] 2026-04-27 | Aligning with Your Own Voice: Self-Corrected Preference Learning for Hallucination Mitigation in LVLMs
[arXiv] 2026-04-27 | A Realistic Discrete Event Simulation model for Ambulance Location and Deployment within a regional Emergency Medical Service
[arXiv] 2026-04-27 | Complexity of Linear Regions in Self-supervised Deep ReLU Networks
[arXiv] 2026-04-27 | "True" self-avoiding walks on general trees
[arXiv] 2026-04-27 | From PDEs on standard domains to self-similar particle systems on fractals
[arXiv] 2026-04-27 | Pedestrians play chicken with an autonomous vehicle
[arXiv] 2026-04-27 | A Milestone-Based Framework for Characterizing Time-Varying Treatment Effects in Immunotherapy Trials
[arXiv] 2026-04-27 | DPRM: A Plug-in Doob h transform-induced Token-Ordering Module for Diffusion Language Models
[arXiv] 2026-04-27 | Understanding and Improving Automated Proof Synthesis for Interactive Theorem Provers
[arXiv] 2026-04-27 | Diffusion Templates: A Unified Plugin Framework for Controllable Diffusion
[arXiv] 2026-04-27 | Unveiling the Backdoor Mechanism Hidden Behind Catastrophic Overfitting in Fast Adversarial Training
[arXiv] 2026-04-27 | OS-SPEAR: A Toolkit for the Safety, Performance,Efficiency, and Robustness Analysis of OS Agents
[arXiv] 2026-04-27 | Semantic Segmentation for Histopathology using Learned Regularization based on Global Proportions
[arXiv] 2026-04-27 | SycoPhantasy: Quantifying Sycophancy and Hallucination in Small Open Weight VLMs for Vision-Language Scoring of Fantasy Characters
[arXiv] 2026-04-27 | Optimal incentive scheme for ESG disclosure
[arXiv] 2026-04-27 | Numerical Investigation of Elastically-Mounted tandem Cylinders using an ALE Runge-Kutta Discontinuous Galerkin method
[arXiv] 2026-04-27 | GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts
[arXiv] 2026-04-27 | Exact, Efficient, and Reliable Multi-Objective and Multi-Constrained IoT Workflow Scheduling in Edge-Hub-Cloud Cyber-Physical Systems
