[2026-09-11 23:53:58] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-10
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609100000+TO+202609102359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[IEEE] 2026-9-10 | Differentiated Prototype Guided Weakly Supervised Semantic Segmentation
[IEEE] 2026-9-10 | DRCMDA: A Dual-View Drug Repositioning Framework with Cluster-Aware Structured Masked Reconstruction and Diffusion-Based Metapath-Graph Augmentation
[IEEE] 2026-9-10 | A Systematic Review of Non-Invasive Methods for Utility-Side Harmonic Impedance Determination
[IEEE] 2026-9-10 | Achieving a 155× Speedup in a LiDAR Data Processing Pipeline
[IEEE] 2026-9-10 | Continual Deterministic Learning and Control of Unknown Nonlinear Systems With Knowledge Reuse
[IEEE] 2026-9-10 | SP-VoxelDet: Channel-Efficient Fully Sparse 3D Object Detection Via Partial Convolution
[IEEE] 2026-9-10 | Joint Hierarchical Image Encryption and Compression Based on Diffusion Models
[IEEE] 2026-9-10 | A Power-Decoupled Three-Phase Current Source Inverter for Low-Voltage-Ride-Through of Wind Power Generators
[IEEE] 2026-9-10 | Joint Trajectory and Fluid Antenna Design for Secure UAV-Enabled ISAC
[IEEE] 2026-9-10 | Non-Stationary THz Channel Characterization for S2A Communications: A Trajectory-Aware Doppler Analysis
[IEEE] 2026-9-10 | Ultra-Wideband 2-Bit Reconfigurable Phased Array Antenna with Improved Side Lobe Level
[IEEE] 2026-9-10 | Adaptive Genetic Optimization of Sparse Arrays for Millimetre-Wave MIMO Radar
[IEEE] 2026-9-10 | A Small-Sample Learning Method for Risk Management Evaluation of Power Grid Engineering Investment Execution
[IEEE] 2026-9-10 | Millimeter-Wave Wideband Large-Spacing Wide-Angle Scanning Magnetoelectric Dipole Phased Array Antenna
[IEEE] 2026-9-10 | Arabic Text Detection and Classification in News Video Based on Vision Transformer
[IEEE] 2026-9-10 | Research on Staged Single-Image Deraining Algorithm
[IEEE] 2026-9-10 | Design of a Ka-band Three-Way Power Combining Structure in Rectangular Waveguide
[IEEE] 2026-9-10 | Experimental Study on Electromagnetic Susceptibility of ZigBee-Based Cabin Internet of Things Systems under Radiated Interference
[IEEE] 2026-9-10 | Integrating Active Problem-Based Learning through Generative AI to Enhance Students’ Understanding of AI Ethics
[IEEE] 2026-9-10 | Design of High-Efficiency and Boardband Concurrent Dual-Band Power Amplifier
[IEEE] 2026-9-10 | The Study of Learning Outcomes using the Role-Play Method of Human Augmentation Simulation Learning System to Enhance Digital Content Creator
[IEEE] 2026-9-10 | FDFD Solution for the Crosstalk of Multi-Conductor Transmission Lines
[IEEE] 2026-9-10 | Parametric Optimization Design of Microwave Sensor Based on Interdigitated Spoof Plasmons
[IEEE] 2026-9-10 | A Comparative Study of AI Models for EEG-Based Cognitive Confusion Detection
[IEEE] 2026-9-10 | Machine Learning for Inflation Forecasting: Can High-Dimensional Macro Indicators Beat the Phillips Curve?
[IEEE] 2026-9-10 | A Method for Design of Heterogeneous Arrays With Broadband Circular Polarization
[IEEE] 2026-9-10 | A Five-Beam Fresnel Lens Antenna with High Gain for mmWave Wind Profile Radar
[IEEE] 2026-9-10 | Social CRM for Stakeholder Engagement and Social Innovation in the Circular Economy
[IEEE] 2026-9-10 | A Fast Update Method for Calibration Data of Phased Array Antennas
[IEEE] 2026-9-10 | Design of C-band High-Efficiency Relativistic Klystron Oscillator with a Low-magnetic Field
[IEEE] 2026-9-10 | MGF-PEFT: Multi-Granularity Feature Fusion for Efficient Large Language Model Tuning
[IEEE] 2026-9-10 | Optically Transparent Millimeter-Wave Wideband Reflective Metasurface Antenna
[IEEE] 2026-9-10 | A YOLO11 Object Detection Algorithm Based on ResNet18 Backbone Optimization for UAV Small Targets
[IEEE] 2026-9-10 | High-Efficiency Bilateral Cosecant-Squared Beamforming Antenna Based on Substrate Integrated Coaxial Line
[IEEE] 2026-9-10 | Bi-Level Routing and Sparse Spatial Attention based Multi-View BEV 3D Object Detection for Autonomous Driving
[IEEE] 2026-9-10 | Multi-Scale Time-Frequency Collaborative Attention Network for Speech Emotion Recognition
[IEEE] 2026-9-10 | Conformal Tapered Periodic Sheet for Edge Scattering Suppression
[IEEE] 2026-9-10 | Two-Stage Delay-Doppler Estimation for OTFS Systems via Off-Grid Sparse Bayesian Learning
[IEEE] 2026-9-10 | H-GRPO: An Asymmetric Hierarchical Group Relative Policy Optimization Framework for Constrained Multi-Objective Control
[IEEE] 2026-9-10 | Cognitive Offloading in the Age of AI: Investigating the Influence of AI Dependence on Students' Critical Thinking Skills
[IEEE] 2026-9-10 | A Simplified Design Method for 27-30 GHz GaN MMIC Load-Modulated Balanced Amplifier
[IEEE] 2026-9-10 | An Improved Schiffman Phase Shifter Based on an L-Shaped Network
[IEEE] 2026-9-10 | Delay-Consistent Cross-Traffic Generation for Extending Network Digital Twins to Unidentified Networks
[IEEE] 2026-9-10 | The Future of Integrated Bidirectional Energy and Transport Systems [From the Editor]
[IEEE] 2026-9-10 | 2026 7th International Conference on Big Data Analytics and Practices (IBDAP)
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[ACM] 2026-9-11 | SustainDiffusion: Optimising the Social and Environmental Sustainability of Stable Diffusion Models
[ACM] 2026-9-11 | Energy-Efficient Software Development: A Multi-dimensional Empirical Analysis of Stack Overflow
[ACM] 2026-9-11 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[ACM] 2026-9-11 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[ACM] 2026-9-11 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[ACM] 2026-9-11 | Remediating Superfluous Re-Rendering in React Applications
[IEEE] 2026-9-11 | An 80-Year Trajectory of Stuart A. Long - His Mentors, Colleagues, Students, Friends, and Family
[ACM] 2026-9-11 | Introduction to the Special Issue on “Blockchain Research and Applications for Innovative Networks and Services (BRAINS 2024)”
[IEEE] 2026-9-11 | HATFI-Net: A Hybrid Attention Time-Frequency Interpolation Network for Channel Estimation
