[2025-12-14 09:09:36] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-13
正在获取论文...
[ACM] 2025-12-13 | Abstract machines and small-step semantics: a winning ticket for proof automation?
[ACM] 2025-12-13 | GPStroke: A Walking Promotion Method using GPS Art with Multiple Walking Paths
[ACM] 2025-12-13 | Spatial Audio for Ski Simulation with Visually Impaired Users in Dynamic Environments
[ACM] 2025-12-13 | Fast First-Hit Determination for Large and Composite Sparse Volumetric Data Structures with Mesh Shaders
[ACM] 2025-12-13 | Effectiveness of "Focus Lines" for Attentional Guidance in Virtual Reality
[ACM] 2025-12-13 | Realisability and Complementability of Multiparty Session Types
[ACM] 2025-12-13 | ImaginaBook: Guiding Virtual Child Smiles via Behavioral Cues in XR Picture-Book Storytelling
[ACM] 2025-12-13 | Fixture Layout Optimization in Wood Industry: A Case Study
[ACM] 2025-12-13 | A Hybrid XR Framework for Collaborative Scientific Visualization: Rendering-as-a-Service with ParaView and Real-Time Engines
[ACM] 2025-12-13 | Fisheye Patch-Based Automatic Colorization Method for Anime Line-drawings
[ACM] 2025-12-13 | Weight Illusion from a "1st+3rd" Person Perspective: Integrating the Strengths of the 1st and 3rd Person Perspectives
[ACM] 2025-12-13 | The Stage Comes to You: A Real-Time Tele-Immersive System with 3D Point Clouds and Vibrotactile Feedback
[ACM] 2025-12-13 | Plétude
[ACM] 2025-12-13 | Sound-driven Design through the lens of four applications for healthcare
[ACM] 2025-12-13 | Spatio‑Temporal 3D Gaussian Splatting Alignment via Robust Features and Randomized Sampling
[ACM] 2025-12-13 | Echoes of the Matchlock: Playing Shooting Games Using Cultural Heritage in Mixed Reality
[ACM] 2025-12-13 | Anime Face Alignment via Guideline-Based Transform for Expression Analysis
[ACM] 2025-12-13 | Immersive Interaction and Interpretation of Ancient Spatial and Shape Data: XR for Archaeological Research
[ACM] 2025-12-13 | Engine-Integrated Cel-Shading for Unreal Engine 5
[ACM] 2025-12-13 | Two-Stage Vector Sketch Generation Using Structure-to-Detail Optimization
