[2026-08-03 23:00:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-02
正在获取论文...
[IEEE] 2026-8-3 | Closed-Loop Common Mode Current Mitigation for Transformerless Current-Source Soft Open Points
[IEEE] 2026-8-3 | Investigation of Square-Ring Vertex-Loop Slow Wave Structure for High-Power High-Efficiency TWTs
[IEEE] 2026-8-3 | LapMDNet: Remote Sensing Object Detection under Foggy Conditions via Physics-Guided Laplacian Prior and Masked Feature Distillation
[IEEE] 2026-8-3 | Evolution of the SWEBOK Guide and LLM-Empowered Software Security Engineering
[IEEE] 2026-8-3 | Solving Fully Fuzzy Linear Systems of Equations Using Multidimensional Linear Pentagonal Fuzzy Number Matrices
[IEEE] 2026-8-3 | ICAHS 2025 TOC
[IEEE] 2026-8-3 | Learning Efficient Communication Protocols for Multi-Agent Reinforcement Learning
[IEEE] 2026-8-3 | Parameter-Fused Soft-Switching Control Strategy for AC-DC Matrix Converters
[IEEE] 2026-8-3 | Design and Analysis of Magnetically Driven Bionic Cookiecutter Shark Underwater Robot
[IEEE] 2026-8-3 | Control Costs for Cluster Consensus of Leader-following Multi-Agent Systems under DoS Attacks
[IEEE] 2026-8-3 | Layer-Sensitivity-Aware Hybrid Redundancy Hardening Design for Reliable CNN Accelerators
[IEEE] 2026-8-3 | Cascaded Gaussian Process Residual Correction for Remaining Useful Life Prediction of Lithium-Ion Batteries
[IEEE] 2026-8-3 | Cross-Modal Co-Attention with Event-Level Context Fusion for Abnormal Recognition
[IEEE] 2026-8-3 | Detection of Non-Stand-Replacing Cuttings Using Satellite Image Time Series With a Kalman Filter
[IEEE] 2026-8-3 | Cloud--Vehicle Collaborative Stability Control via Learning-Based Variable-Matrix Model Predictive Control With Region-of-Attraction Constraints
[IEEE] 2026-8-3 | Low-profile Wideband Patch Antenna with Compact GCPW-PS Balun for Radar System in Package
[IEEE] 2026-8-3 | New Constructions of Asymptotically Optimal Sequence Sets with Dual-rectangular Zero Ambiguity Zones
[IEEE] 2026-8-3 | RSTNet: Rectified Spatial-Temporal Interaction Network for Remote Sensing Change Detection
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Nonfragile H∞ Filter Design for Continuous-Time T-S Fuzzy Systems With Time Delay
[IEEE] 2026-8-3 | HEDWIG: Homomorphic Encryption Accelerator Design Using BFV-HPS With High-Speed Fixed-Point Approximation
[IEEE] 2026-8-3 | The Impact of Fault Interference on Prediction-Based Fault Localization in Multi-Bug Programs
[IEEE] 2026-8-3 | Bridging the Abstraction Gap: A Comparative Study of Specialized and General LLMs for Arabic Text Summarization
[IEEE] 2026-8-3 | A Grayscale-Density-Image-Based Method for Wind Turbine Data Cleaning
[IEEE] 2026-8-3 | The
                    <i>k</i>
                    -Space Co-Array: Geometric Duality of the Gram Matrix in LoS Massive MIMO
[IEEE] 2026-8-3 | Per-antenna power constraints: constructing Pareto-optimal precoders with cubic complexity under non-negligible noise conditions_supp1-3718840.pdf
[IEEE] 2026-8-3 | CAA-TDI: Confidence-Aware Attention for Trustworthy Data Inference in Sparse Mobile Crowdsensing_supp1-3716452.pdf
[IEEE] 2026-8-3 | Scintillation Analysis of a 400 Gbps Coherent FSO Feeder-Link for GEO Satellite Downlink-Like Transmission
[IEEE] 2026-8-3 | Differential Calibration of Satellite Altimeters using Corner Reflectors
[IEEE] 2026-8-3 | Reversible Data Hiding Based on Matrix Embedding and Adaptive Multiple Histograms Modification
[IEEE] 2026-8-3 | Design and Architecture of an Accessible Mobile System for Danger Detection in Autism Spectrum Disorder: Integrating AR, AI and Machine Learning
[IEEE] 2026-8-3 | Proportional-Integral Observer Design for Multi-Rate Systems Under Decode-and-Forward Relays: Tackling Power-Dependent Packet Dropouts
[IEEE] 2026-8-3 | Which Metric Matters? Similarity Evaluation for Wavelet-Domain Camera Fingerprints
[IEEE] 2026-8-3 | Sparse Vector Coding via Base Conversion Index Modulation for Short-Packet xURLLC
[IEEE] 2026-8-3 | Parallel Mental Health: Nonpharmaceutical Intervention via Computational Psychophysiology and Closed-Loop Regulation
[IEEE] 2026-8-3 | Fault Location Method for Shipboard Power System Based on Improved Differential Evolution Algorithm
[IEEE] 2026-8-3 | DHMNN: A Hypergraph Motif-Based Framework for Directed Hyperlink Prediction
[IEEE] 2026-8-3 | A PolInSAR Forest Height Inversion Method Considering the Number of Scattering Phase Centers
[IEEE] 2026-8-3 | Handwriting Analysis in Early-Dementia Screening: Experimental Design and Diagnostic Potential – A Comprehensive Review
[IEEE] 2026-8-3 | Predicting Smartphone Battery Collapse: A Non-Linear Approach Based on Constant Power Load and First Hitting Time
[IEEE] 2026-8-3 | Context-Aware Long-Range Transportation Flow Prediction for Supporting Urban Mobility Informatics
[IEEE] 2026-8-3 | Temperature-dependent Reflectometric Polymer Optical Fiber Sensor based on a Thermally Fused PMMA Interface
[IEEE] 2026-8-3 | Adaptive Fuzzy Event-Triggered Quantized Control for Uncertain Nonlinear Systems
[IEEE] 2026-8-3 | IG-RFT: An Interaction-Guided RL Framework for VLA Models in Long-Horizon Robotic Manipulation
[IEEE] 2026-8-3 | Debiasing Temporal Sentence Grounding via Semantic-Aware Multimodal Query Reconstruction
[IEEE] 2026-8-3 | Modeling and Performance Evaluation of a Multi-Pillar Telescopic Piezoelectric Transducer
[IEEE] 2026-8-3 | Design and Implementation of an Open-Source Security Framework for Cloud Infrastructure
[IEEE] 2026-8-3 | Serious Game with Haptic Feedback for Upper Limb Rehabilitation
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Payload Technologies for Mountain Search-and-Rescue UAVs: A Review
[IEEE] 2026-8-3 | Optimal Sensor Selection of Linear Quadratic Regulation with Unknown Sensor Noise Covariances
[IEEE] 2026-8-3 | LLM-Guided Review Condensation for Text-Convolutional Recommendation
[IEEE] 2026-8-3 | CB-BSH: Multi-Agent Motion Planning with Heterogeneous Kinematics and Geometric Envelopes_supp1-3719227.mp4
[IEEE] 2026-8-3 | DEDUCE-Net: Efficient Semantic Segmentation on Embedded Systems for Autonomous Driving
[IEEE] 2026-8-3 | Sponsors
[IEEE] 2026-8-3 | 
[IEEE] 2026-8-3 | A study of the leakage current in transformerless three-phase photovoltaic inverters based on the B4 topology
[IEEE] 2026-8-3 | ST-GNN with Spatio-Temporal Attention for Multi-Harmonic Source Location in V2G-Integrated Distribution Networks
[IEEE] 2026-8-3 | Integrated Visual AI Detection of New Energy Vehicle Fire Features Under CBAM Attention Mechanism
[IEEE] 2026-8-3 | A Joint Mission Risk Control Model Considering Health-State Evolution and Stage-Specific Rewards
[IEEE] 2026-8-3 | Adaptive RL Scheduling for xPON Upstream in Power Distribution Networks
[IEEE] 2026-8-3 | Review for "Collection: Benchmark Datasets for the Evaluation of Data Imputation Algorithms"
[IEEE] 2026-8-3 | PC-Transformer: Prediction-Correction Transformer for Accurate GNSS Positioning on Android Smartphones
[IEEE] 2026-8-3 | Secure Control of Networked Control Systems Based on Multiplicative Watermarking-Based Detection and Data Compensation
[IEEE] 2026-8-3 | LLM-Based Code Documentation Generation and Multi-Judge Evaluation
[IEEE] 2026-8-3 | Robust Graph Federated Learning Against Noisy Labels: A Semantics-Enhanced and Structure-Guided Approach
[IEEE] 2026-8-3 | Fuzzy Admission Control Using Non-Intrusive QoS Inference for Resource-Constrained Environments
[IEEE] 2026-8-3 | A Topology-Extended Comb-Finger Ring MEMS Gyroscope for Enhanced Capacitive Transduction
[IEEE] 2026-8-3 | Organizing Committee
[IEEE] 2026-8-3 | Background-Aware Crowd Segmentation and Density Map Generation Network for Kernel-Free Crowd Counting in the Video Internet of Things
[IEEE] 2026-8-3 | A Spectral Inverted Residual Transformer for Photovoltaic Power Prediction
[IEEE] 2026-8-3 | Integrated Real-Time Voltage Disturbance Monitoring for Modular Multilevel Converters Based on a Two-Layer Collaborative Architecture
[IEEE] 2026-8-3 | Dual-axis Resonant Piezoelectric MEMS Scanning Mirror via Electrode Segmentation and Mode Optimization for High-Resolution LBS Displays
[IEEE] 2026-8-3 | Multi-Branch Dilated Residual Network for InSAR Phase Denoising_supp1-3718510.pdf
[IEEE] 2026-8-3 | Cross-Scale Modeling of Threading Screw Dislocation Leakage in Heterogeneous GaN Vertical Devices
[IEEE] 2026-8-3 | FRAGNet: Foreground-aware Robust Adaptive Geometry Network for Multimodal Remote Sensing Object Detection
[IEEE] 2026-8-3 | Synthesis Design of a Three-Dimensional Wideband Transmissive Polarization-Rotating Structure
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | The Impact of Artificial Intelligence on Firm Performance: Evidence from Chinese Manufacturing Firms
