[2026-06-10 23:25:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-09
正在获取论文...
[arXiv] 2026-06-09 | One-Step Self-Organized Multifunctional Micromotors via Evaporative Liquid-Liquid Phase Separation
[arXiv] 2026-06-09 | Geometry of gravitational instantons
[arXiv] 2026-06-09 | Enhancing Multilingual LLM-based ASR with Mixture of Experts and Dynamic Downsampling
[arXiv] 2026-06-09 | Virtual-Array Operational Modal Analysis of Rolling Tires Using a Single Tire Cavity Accelerometer
[arXiv] 2026-06-09 | From Electroculture to Plasma Agriculture: A Three-Century Arc Bridging Bertholon's Legacy with Contemporary Farming Advances
[arXiv] 2026-06-09 | Well-Posedness Of Second-Order Evolution Equations With Non-Integrable And Degenerate Coefficients In Weighted Lp-Spaces
[arXiv] 2026-06-09 | Beyond Coverage and Kill Scores: Empirically Measuring Test Suite Behavioural Gaps
[arXiv] 2026-06-09 | RATrain: A Resource-Aware Training Runtime for Large Language Models on Bandwidth-Constrained Heterogeneous Supercomputing Platforms
[arXiv] 2026-06-09 | A Unified Multi-Modal Framework for Intelligent Financial Systems: Integrating Reinforcement Learning, High-Frequency Trading, and Game-Theoretic Approaches with Cross-Modal Sentiment Analysis
[arXiv] 2026-06-09 | Orthogonal degree-similarity of edge-deleted strongly regular graphs
[arXiv] 2026-06-09 | KCSAT-ML: Probing Reasoning Models with Nationwide-Cohort Human Difficulty
[arXiv] 2026-06-09 | Nonlinearization of bilinear equations of the sine-Gordon type, nonlinear Schrödinger type and Benjamin-Ono type
[arXiv] 2026-06-09 | STAGE-Claw: Automated State-based Agent Benchmarking for Realistic Scenarios
[arXiv] 2026-06-09 | On a Conjecture of Shapiro
[arXiv] 2026-06-09 | Beyond Static Evaluation: Co-Evolutionary Mechanisms for LLM-Driven Strategy Evolution in Adversarial Games
[arXiv] 2026-06-09 | SkillResolve-Bench: Measuring and Resolving Same-Capability Ambiguity in Agent Skill Retrieval
[arXiv] 2026-06-09 | Agentic Hybrid RAG for Evidence-Grounded Muon Collider Analysis
[arXiv] 2026-06-09 | SIDInspector: A Mapping-First Diagnostic Resource for Semantic-ID Tokenizers
[arXiv] 2026-06-09 | Flow-based generative models for amortized Bayesian inference in regression and inverse PDE problems
[arXiv] 2026-06-09 | Chiral algebras with abelian conformal part
[arXiv] 2026-06-09 | Higher-order Diffusion Sampling via Chebyshev Interpolation and Gauss--Seidel Iterations
[arXiv] 2026-06-09 | Neural electron backscatter diffraction
[arXiv] 2026-06-09 | Self-Distillation Policy Optimization via Visual Feedback: Bridging Code and Visual Artifacts
[arXiv] 2026-06-09 | Content-Induced Spatial-Spectral Aggregation Network for Change Detection in Remote Sensing Images
[arXiv] 2026-06-09 | The Order Matters: Sequential Fine-Tuning of LLaMA for Coherent Automated Essay Scoring
[arXiv] 2026-06-09 | Communication Skills in Software Engineering: A Multivocal Review
[arXiv] 2026-06-09 | SSL-GMMVC: Interpretable Voice Conversion via Locally Linear GMM Transforms in Self-Supervised Representation Space
[arXiv] 2026-06-09 | On Time-Delay Compensators for Delayed-Output Systems
[arXiv] 2026-06-09 | What Spatial Memory Must Store: Occlusion as the Test for Language-Agent Memory
[arXiv] 2026-06-09 | LLM-Guided Neural Architecture Search for Robust Co-Design of Physical Neural Networks
[arXiv] 2026-06-09 | Constraints on axion-like particles from ultra-high-energy observations of M87 with the HAWC observatory
[arXiv] 2026-06-09 | Improved Representation of Matrix Lie Group Operations through Tensor Notation
[arXiv] 2026-06-09 | Revisiting Positive Samples in Graph Contrastive Learning: From the Perspective of Message Passing
[arXiv] 2026-06-09 | Towards Robust Arabic Speech Emotion Recognition with Deep Learning
[arXiv] 2026-06-09 | Measurement of the branching fraction of $D_{s}^{*+}\to e^{+}e^{-}D_{s}^{+}$
[arXiv] 2026-06-09 | Multiphase images of a powerful supernova-driven wind in the early Universe
[arXiv] 2026-06-09 | Fast-Neutron Irradiation Effect in Heteroepitaxial $β$-Ga$_2$O$_3$ Schottky Diodes Fabricated on Low-Cost Sapphire Substrates
[arXiv] 2026-06-09 | Filamentary Transport and Thermoelectric Effects in Mushroom Phase Change Memory Cells
[arXiv] 2026-06-09 | A Multimodal Domain-Adversarial Network for Fragmentation Background Suppression in AMS Heavy Nuclei Measurements
[arXiv] 2026-06-09 | Normal ordering in string theory and the canonical phase space quantization
[arXiv] 2026-06-09 | Profy: Interpretable Visualization of Expertise-Dependent Motor Skills Toward Supporting Piano Practice
[arXiv] 2026-06-09 | Generalized superderivations of the super Virasoro algebras
[arXiv] 2026-06-09 | GaussTrace: Provenance Analysis of 3D Gaussian Splatting Models with Evidence-based LLM Reasoning
[arXiv] 2026-06-09 | Transient Stability of Offshore Energy Hubs
[arXiv] 2026-06-09 | Hunting for QCD Instantons
[arXiv] 2026-06-09 | LieIPM: Lie Group Interior Point Method for Direct Trajectory Optimization of Rigid Bodies
[arXiv] 2026-06-09 | Benchmarking Knowledge Editing using Logical Rules
[arXiv] 2026-06-09 | Unsupervised Deep Learning for Limited-Angle STEM-EDX Tomography -- Application to 3D Chemical Analysis of Phase-Change Memory Devices
[arXiv] 2026-06-09 | GRAR: Glass-induced Reflection Artifact Removal in LiDAR Point Clouds
[arXiv] 2026-06-09 | Complex VAE with Heavy-Tailed Likelihood for Radar Target Detection in Sea Clutter
[arXiv] 2026-06-09 | Updating the PATH framework with FRB host galaxy models
[arXiv] 2026-06-09 | Circular polarization effects induced by photon-axion mixing in astrophysical environments
[arXiv] 2026-06-09 | Gamma-Ray Emission from the Crab Pulsar: A 17-Year Fermi-LAT Reanalysis
[arXiv] 2026-06-09 | Microscopic evidence for a Zhang-Rice triplet state in the van der Waals antiferromagnet, NiPS$_3$
[arXiv] 2026-06-09 | Act on What You See: Unlocking Safe Social Navigation in Vision-Language-Action Models
[arXiv] 2026-06-09 | A Nonlinear Snell Envelope Representation for Path-Dependent Controller-Stopper Games
[arXiv] 2026-06-09 | Stability and Physical Properties of Compact Stars Beyond Einstein Gravity
[arXiv] 2026-06-09 | A complementary study on PlanGPT: Evaluation with defined Performance Metrics and comparison with a planner
[arXiv] 2026-06-09 | Advancing the State-of-the-Art in Empirical Privacy Auditing
[arXiv] 2026-06-09 | Detecting Speculative Language in Biomedical Texts using Recurrent Neural Tensor Networks
[arXiv] 2026-06-09 | GC-LoRA: Gated Convolutional LoRA for Parameter-Efficient Acoustic Adaptation
[arXiv] 2026-06-09 | The Distributed Detectability Band Against Marginal-Preserving Attacks
[arXiv] 2026-06-09 | Dynamic inverse problems: Single-loop online algorithms
[arXiv] 2026-06-09 | $ρ$-Frequently Hypercyclic Operators
