[2026-09-09 23:51:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-08
正在获取论文...
[arXiv] 2026-09-08 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[arXiv] 2026-09-08 | Sharp Bohr and Bohr-Rogosinski inequalities involving area measure for close-to-convex harmonic mappings
[arXiv] 2026-09-08 | Multimode squeezed light generation and characterization
[arXiv] 2026-09-08 | Radial velocity follow-up of \textit{Gaia} astrometric substellar companions: six confirmed brown dwarfs and 13 impostor binaries
[arXiv] 2026-09-08 | The Unreliable Progress Bar: Can LLM Agents Reliably Report Task Progress Throughout Execution?
[arXiv] 2026-09-08 | Magnetic phases of Kondo lattice materials Ce$_5$RhGe$_2$ and Ce$_5$IrGe$_2$
[arXiv] 2026-09-08 | Erased Postulates, Identity Types and Quotients
[arXiv] 2026-09-08 | PLC-Bin2Src: Retrieving Corresponding Structured Text Source Files for PLC Binaries
[arXiv] 2026-09-08 | Certified Topological Interaction in Neural Representations: Class Disentanglement Is Mostly Pairwise
[arXiv] 2026-09-08 | Classification of Legendrian doubles and suspensions
[arXiv] 2026-09-08 | A geometric Jacquet--Langlands correspondence for Shimura varieties
[arXiv] 2026-09-08 | Schwinger boson perturbation theory for spin-$S$ Kitaev-Heisenberg magnets: phase diagram and dynamical response near Kitaev spin liquids
[arXiv] 2026-09-08 | Symmetric power L-functions of a weighted hyper-Kloosterman family
[arXiv] 2026-09-08 | A vanishing criterion for Lie elements in a free Novikov algebra
[arXiv] 2026-09-08 | Physical Law Ecology: mapping multi-mechanism ecologies as the zeroth step of data-driven scientific discovery
[arXiv] 2026-09-08 | Layer Selection in VLMs for Zero-Shot OOD Detection via Multi-Resolution Entropy Estimation
[arXiv] 2026-09-08 | Continuity for random walks in hyperbolic percolation: drift, entropy, and dimension
[arXiv] 2026-09-08 | Harmonics of femtosecond and continuous-wave radiation for precision spectroscopy: generation efficiency and spectral line shape
[arXiv] 2026-09-08 | Breathers in solitonic room-temperature superlattice-induced superfluorescence in quasi-2D perovskites
[arXiv] 2026-09-08 | TASG-Explore: Traversability-Aware Sector-Guided Exploration for Ground Robot on Uneven Terrain
[arXiv] 2026-09-08 | Temporal State Transport in Video Generation: Diagnosing and Correcting Spectral Imbalance
