[2026-06-27 23:02:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[ACM] 2026-6-26 | Cross-platform GPU Implementation of OpenFOAM Using Only ISO C++ standard parallelism.
[ACM] 2026-6-27 | Inducing Neutral Affective States in HCI Experiment Participants
[IEEE] 2026-6-26 | Real-Time Cognitive Control Architecture for Predictive Web Performance Governance in LargeScale Distributed Cloud Systems
[IEEE] 2026-6-26 | Digital Twin Model of Smart Transportation and Maritime Systems for Resource Efficiency and Operational Optimization
[IEEE] 2026-6-26 | Integrating AI-Powered Communication Strategies for Sustainable Leadership and Innovation Development
[IEEE] 2026-6-26 | Explainable Denoising Networks: Interpretable Noise Reduction in Digital Images via Pixel-Level
[IEEE] 2026-6-26 | Thermodynamic Model to Evaluate the Efficiency and Economic Benefit of a Two Spool Engine: Integration of AI and Smart Data for Sustainable Engineering Systems and Comparison to GE CF34
[IEEE] 2026-6-26 | CHIEF Optimizes System Diagnosis and Predicts Network Health through AI Analytics
[IEEE] 2026-6-26 | IEEE Reliability Magazine Publication Information
[IEEE] 2026-6-26 | AI-Based Optimization of Energy Conversion and Resource Utilization in Smart Industrial and Maritime Systems Using Data-Driven Approaches
[IEEE] 2026-6-26 | Consumer Choice of AI Assisted Traceable Sustainable Food Products in the Vietnamese Market: The Roles of Data Transparency and Information Trust
[IEEE] 2026-6-26 | Phase transitions and magnetocaloric effect study on
                    <i>
                      Co
                      <sub>2</sub>
                      NiGa
                    </i>
                    glass-coated Heusler microwire
[IEEE] 2026-6-26 | LHGLink: LLM—Enhanced Heterogeneous Graph Learning for Issue–Issue Link Prediction
[IEEE] 2026-6-26 | Generalizable Deep Learning for Aerosol and Cloud Segmentation in Ground-Based and Spaceborne Lidar Observations
[IEEE] 2026-6-26 | Hybrid Biometric System Using Eyewitness Testimonies and Face Profile Images
[IEEE] 2026-6-26 | Low-Sidelobe Fixed-Frequency Leaky-Wave Antenna Using Amplitude-Phase Control and Decoupling Structure
[IEEE] 2026-6-26 | EDRCT: An Enhanced Dual-Response Collision Tree Anti-collision Protocol for High-Density Mobile RFID Tags Identification_supp1-3705422.pdf
[IEEE] 2026-6-26 | Mitigation of Dopant Deactivation in Heavily Phosphorus-doped Silicon via Nitrogen Co-implantation
[IEEE] 2026-6-26 | Carbon Electrodes Coupled with Paper-Based Microfluidics for Simultaneous Electrochemical Detection of Cadmium and Lead
[ACM] 2026-6-26 | Multi-Tiered Microbenchmark Regression Detection in a Production Database CI Pipeline
[ACM] 2026-6-26 | The Memory Scaling of Reverse-Mode Differentiation in Particle Accelerator Simulations with Space Charge
[IEEE] 2026-6-26 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp1-3704971.pdf
[IEEE] 2026-6-26 | Energy Efficiency and Spectral Efficiency Tradeoff in RIS-Aided Cell-Free Massive MIMO Network
[IEEE] 2026-6-26 | SoDa
                    <sup>2</sup>
                    : Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[IEEE] 2026-6-26 | Extended Multi-Branch Basis Functions for the Method of Moments Analysis of Nonconformal Problems
[IEEE] 2026-6-26 | Data-driven and Learning-based Control of Autonomous Systems
[IEEE] 2026-6-26 | Unimodular Waveform Design for Blanket Jamming Suppression via Manifold Optimization
[IEEE] 2026-6-26 | A Software Component for Real-Time Automotive Communications Over Ethernet 10BASE-T1S
[IEEE] 2026-6-26 | Thermal Performance Analysis of Retrofilled Power Transformers
[IEEE] 2026-6-26 | Trend-Constrained Physics-Guided Neural Network With Prior-Embedded Slow Feature Analysis for Latent-Variable-Driven Industrial Soft Sensing
[IEEE] 2026-6-26 | Improved IGBT Aging Diagnosis for Three-Phase Inverters via Phase-Angle Feature Redesign and Kernel SHAP Analysis
[IEEE] 2026-6-26 | Active Power Backflow Suppression Strategy for Hybrid Cascaded H-Bridge PV Grid-Connected Inverters under Inter-Phase Short-Circuit Faults
[IEEE] 2026-6-26 | Resource Efficient Edge Wake-Up: A Blind Vibration Metric for Battery Powered Industrial IoT
[IEEE] 2026-6-26 | Improved EAC Method for Transient Synchronization Stability Analysis of Grid-following VSC systems
[IEEE] 2026-6-26 | Low-Energy Battery State Estimation for EVs Using Hybrid SNN-LSTM for Heterogeneous System-on-Chip Architectures
[IEEE] 2026-6-26 | IEEE Robotics and Automation Society Publication Information
[IEEE] 2026-6-26 | Crop row segmentation using deep learning for autonomous agricultural robots in precision farming
[IEEE] 2026-6-26 | The Impact of AI DNA Marketing on Corporate Efficiency
[IEEE] 2026-6-26 | FinTech Adoption in the Digital Age: A Holistic Framework Addressing Trust, Culture, and Technological Factors
[IEEE] 2026-6-26 | EEG-Based Mental Arithmetic Classification for Cognitive Workload Estimation
[IEEE] 2026-6-26 | Thermodynamical Valorisation of Palm Oil Biomass: A Review of Pyrolysis, Gasification, and Biochar Production Pathways
[ACM] 2026-6-27 | Data Protection Vulnerabilities Assessment for Cross-Organizational Consistency Checking in TEE
[ACM] 2026-6-27 | Advancing DEVS Model Definition via Conceptual Modeling
[ACM] 2026-6-27 | A Persona-Augmented Multi-Agent System for Varied Narrative Generation
[ACM] 2026-6-27 | D3OF: DRL-Driven Dual-Layer Dynamic Obfuscation Framework for FPGAs
[ACM] 2026-6-27 | How Much Energy Is Wasted in LLM operations? Evidence from Kernel-Level DVFS
[ACM] 2026-6-27 | A Portable GPU Kernel Performance Modeling Method Based on LLVM IR Dynamic Feature Prediction
[ACM] 2026-6-26 | Proceedings of the 1st International Workshop on Dark Software Engineering
[ACM] 2026-6-26 | SGAP: A Scatter-Gather Processing-in-Memory Architecture with Fixed-Point Reconfiguration for Energy-Efficient DNNs
[IEEE] 2026-6-26 | Optimal Joint Energy and Flexibility Market Clearing Considering Uncertain Renewable Resources Using Information Gap Decision Theory
[IEEE] 2026-6-26 | Incorporating Realistic Margin Constraints: A Data-Driven Deep Reinforcement Learning Framework for Advanced Portfolio Management
[IEEE] 2026-6-26 | CENav: Complexity-Aware Adaptive Navigation for Quadrotors in Cluttered Environments_supp1-3707349.mp4
[IEEE] 2026-6-26 | Design and Implementation of a Novel Olfactory-Enhanced Cardiac Sensing System for Psychological Stress Assessment
[IEEE] 2026-6-26 | A High-efficiency 500-kW Active-neutral-point-clamped Three-level $LLC$ Converter Based on Loss Reconfiguration Strategy and Nonlinear Loss Effect
[ACM] 2026-6-26 | Scalable Agentic Reasoning for Designing Biologics Targeting Intrinsically Disordered Proteins
[ACM] 2026-6-26 | QG-STR: Training-Time Optimized Question-Guided Scene Text Recognition via Visual Question Answering
[ACM] 2026-6-27 | Threads or Vectors? Evaluating SPMD and Vector Accelerators for Resource Constrained RISC-V Architectures
[IEEE] 2026-6-26 | The Role of Artificial Intelligence in Financial Technology
[IEEE] 2026-6-26 | Convergence and Visual Interpretation Analysis of ViT and CNN on High Similarity and Imbalance Buddhist Heritage Sites Dataset
[IEEE] 2026-6-26 | Student Startup Success Prediction Using Support Vector Machines and Neural Networks
[IEEE] 2026-6-26 | The Role of Generative Artificial Intelligence in Increasing the Productivity of Audit Firms
[IEEE] 2026-6-26 | Ethical Oversight and Governance in AI-Driven Digital Auditing: Toward Sustainable Innovation
[ACM] 2026-6-27 | Engineering Cross-Compatible Personalization for Interactive AI-Driven Services
[IEEE] 2026-6-26 | A Digital Twin of the Air: Singapore’s Hybrid AI Wind Map and the Politics of Urban Space
[IEEE] 2026-6-26 | A Multimodal Self-Supervised Learning Framework for Scene Understanding in Autonomous Driving Systems
[IEEE] 2026-6-26 | Privacy-preserving distributed learning: Techniques, applications, and future challenges
[IEEE] 2026-6-26 | TED: Towards Explainable and Holistically Aligned Empathetic Dialogue Generation_supp1-3707410.pdf
[IEEE] 2026-6-26 | Fleet-Size Scaling of AUVs: Revisiting the Range Equation
[IEEE] 2026-6-26 | SA-MPC: Situational Awareness-Driven Model Predictive Control via Vision-SBES Fusion for Robust Underwater Obstacle Avoidance
[IEEE] 2026-6-26 | A Geometric Control Framework for Three-Phase Inverters in Grid-tied Systems
[IEEE] 2026-6-26 | A Bilevel Consensus Model Based on Network Game for Maximizing Satisfaction and Minimizing Cost
[IEEE] 2026-6-26 | Toward LLM Democratization: When LLM Meets P2P Network
[IEEE] 2026-6-26 | ReaDy-Go: Real-to-Sim Dynamic 3D Gaussian Splatting Simulation for Environment-Specific Visual Navigation with Moving Obstacles_supp1-3707355.mp4
[IEEE] 2026-6-26 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp3-3704053.mp4
[IEEE] 2026-6-26 | Two-Scale Controllability of a Parameterised BSP Dungeon Generator for Player Flow Optimisation_supp1-3702534.pdf
[IEEE] 2026-6-26 | Whispering Secrets in a Crowd: Leveraging Non-Covert Users for Covert Communications
[ACM] 2026-6-26 | Patrones Oscuros: a Browser Extension for detecting Dark Patterns in Spanish
[IEEE] 2026-6-26 | The Influence of Perceived Health Benefits, Tourism Transportation, Mental Health, and Motivation on the Development of Wellness Tourism
[IEEE] 2026-6-26 | The Effect of Financing on Small and Medium Enterprises Performance: A Case Study in Jordanian Banks
[IEEE] 2026-6-26 | The Role of Digital Transformation in Improving Organizational Performance: The Mediating Role of Knowledge Generation
[IEEE] 2026-6-26 | GIS Based Optimization of Municipal Solid Waste Collection under Capacity Constraints Using AI in Amman Jordan
[IEEE] 2026-6-26 | How Artificial Intelligence Strengthens Brand Loyalty: The Mediating Role of Mental Image
[IEEE] 2026-6-26 | Automated Oral Cancer Image Classification Using MobileNetV2 for Histopathological Analysis
[IEEE] 2026-6-26 | Artificial Intelligence for Tire Tread Inspection in Smart Manufacturing: A Literature Review
[IEEE] 2026-6-26 | Intelligent Sensor Data Processing Methods for Real-Time Control of Mechatronic Manufacturing Systems
[IEEE] 2026-6-26 | Reinforcement learning-based optimization of fertigation scheduling in smart greenhouses for tomato cultivation
[IEEE] 2026-6-26 | Data-Driven Fault Diagnosis Algorithms for Intelligent Monitoring of Industrial Rotating Machinery
[IEEE] 2026-6-26 | Predictive Maintenance in Healthcare IoT Infrastructure a Systematic Review
[ACM] 2026-6-27 | A Gray Literature Study on Fairness Requirements in AI-enabled Software Engineering
[ACM] 2026-6-27 | A Language-driven Approach for Generating Simulation Scenarios of Self-Adaptive Systems in Minecraft
[ACM] 2026-6-27 | RaDIA: Visual Analytics for Systematic Sample Association in Nuclear Weapon Test Verification Workflows
[ACM] 2026-6-26 | Serverless Computing for Life-Critical Science: Design Patterns and Co-Design Insights from a Real-Time Earthquake Loss Alert System
[IEEE] 2026-6-26 | Front Cover
[IEEE] 2026-6-26 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp2-3702087.pdf
[IEEE] 2026-6-26 | Guest Editorial: Energy Transition Analysis and Technologies with Hydrogen Solutions and Accessories
[IEEE] 2026-6-26 | High Impedance Fault Mathematical Models: A Review
[IEEE] 2026-6-26 | Iterative Diffusion-Refined Neural Attenuation Fields for Multi-Source Stationary CT Reconstruction: NAF Meets Diffusion Model
[IEEE] 2026-6-26 | MixVIO: Selective Visual-Inertial Odometry Via Phase-Aware Attention and Hybrid Kernel Modeling_supp1-3707325.mp4
[IEEE] 2026-6-26 | Quantifying the dynamics that link leg tendon vibration to induced periodic postural oscillations in young subjects Differential effects of light touch on the induced sway_supp1-3707473.pdf
[IEEE] 2026-6-26 | Contrastive Learning for Φ-OTDR Vibration Signal Recognition Based on a Joint Optimization Framework
[IEEE] 2026-6-26 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp3-3701298.mp4
[IEEE] 2026-6-26 | SSA-CNN-LSTM Based Methods for Evaporation Duct Height Forecasting from Multi-Frequency Reception Signals
[ACM] 2026-6-27 | FlIP: Flow-Based Instruction Processing for Out-of-Order Scheduling in GPGPUs
[IEEE] 2026-6-26 | A Bilingual Multimodal System for Intelligent Recipe Recommendation
[IEEE] 2026-6-26 | Synthesis and Multi-Technique Characterization of an MnFe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    -Loaded Nano-Kaolin Composite
[IEEE] 2026-6-26 | Artificial Intelligence in Medical Science as a Therapeutic Factor: A Theoretical and Methodological Analysis
[IEEE] 2026-6-26 | Self-Supervised Learning for Fault Detection in Industrial Sensor Networks
[IEEE] 2026-6-26 | Effect of Augmented Reality Experiences on Fashion E-purchase Intention of Gen Z in Mekong Delta, Vietnam
[IEEE] 2026-6-26 | A Robust and Fast InSAR Phase Denoising Algorithm Based on Coarse-to-Fine Adaptive Residual Iteration
[IEEE] 2026-6-26 | Investigation of Inverter Transformer Thermal Modelling Under Supra-Harmonics and Wind Dynamics
[IEEE] 2026-6-26 | A Secure DID/VC Access Control Framework for Named Data Networking
[ACM] 2026-6-27 | µPoly Tutorial: Using the First Microgesture Toolkit
[IEEE] 2026-6-26 | Adaptive Constructive Fuzzy System With Spectral-Bounded Regularization and Dual Rule Selection_supp1-3707159.pdf
[IEEE] 2026-6-26 | A High-Fidelity All-Atom Model for HVDC Oil-Paper Insulation Based on Material Characterization and Experimental Validation
[IEEE] 2026-6-26 | 35% Specific Contact Resistivity Reduction in Titanium-Based Ohmic Contact with Ultrathin Low-Oxide-Formation-Enthalpy Yttrium Interlayer
[IEEE] 2026-6-26 | Frequency Meets Intent: Enhancing Sequential Recommendation With Spectral Contrastive Learning
[IEEE] 2026-6-26 | Learning Category-level Last-meter Navigation from RGB Demonstrations of a Single-instance_supp1-3707352.mp4
[IEEE] 2026-6-26 | Total Alpha Jensen-Bregman Divergence-Based MIG Detectors in Nonhomogeneous Clutter
[IEEE] 2026-6-26 | Generalized Non-Intrusive Multiport Impedance Measurement Method for EMI Filter Insertion Loss Evaluation
[IEEE] 2026-6-26 | Model Predictive Control for Fast Frequency Control in Hybrid Renewable Plants: Increasing Robustness through Enhanced Model Observability
[IEEE] 2026-6-26 | Numerically Studying the Continuous Reflections in Graded-indexed Waveguide Layer on GaN-based Fabry-Perot Laser Diodes
[IEEE] 2026-6-26 | Bidirectional Thrust Fault-Tolerant Quadcopter Against Rotor Failure_supp1-3701805.mp4
