[2026-02-14 09:19:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-13
正在获取论文...
[ACM] 2026-2-13 | Gender Differences in Class Participation in Online versus In-Person Core CS Courses
[ACM] 2026-2-13 | A New Course in Computational Music Theory
[ACM] 2026-2-13 | Code, Test, Battle: Gamifying CS2 Through Adversarial Programming Tournaments
[ACM] 2026-2-13 | Student/Faculty Partnerships to Teach Computing Ethics Beyond the Computer Science Classroom
[ACM] 2026-2-13 | A Verification-First, Self-Healing Framework for LLM-Enabled Generation of CS1 Exercises
[ACM] 2026-2-13 | Transform Your Computer Science Course with Specifications Grading
[ACM] 2026-2-13 | Transparent Teaching
[ACM] 2026-2-13 | Process-Oriented Homework with an Instructor-Designed AI-Bot: An Early Experience in a Data Structures and Algorithms Course
[ACM] 2026-2-13 | Integrating AI and Entrepreneurship: Preparing CS Undergraduates for Startups and Innovation
[ACM] 2026-2-13 | HeuristicBuilder: An Interactive Multimodal Approach to Teaching Usability Heuristics
[ACM] 2026-2-13 | Effects of Project Type on CS Capstone Courses
[ACM] 2026-2-13 | Wearable Electrotactile Feedback for Motor Skill Acquisition
[ACM] 2026-2-13 | Teaching Students through Comparing Code in CS1
[ACM] 2026-2-13 | Free Interactive Textbooks for Teaching Parallel and Distributed Computing Across the Computer Science Curriculum
[ACM] 2026-2-13 | Evaluating the Impact of Accessibility Testing Tool Usage Across the Software Development Lifecycle in Student Projects
[IEEE] 2026-2-13 | ECO: Energy-Constrained Optimization with Reinforcement Learning for Humanoid Walking
[IEEE] 2026-2-13 | Chessboard FPA in 130-nm SiGe BiCMOS for High-Resolution Passive Terahertz Imaging
[IEEE] 2026-2-13 | Mitigating Misinformation Spread in Blockchain-Based Online Social Networks_supp1-3598599.pdf
[IEEE] 2026-2-13 | IEEE Transactions on Computational Social Systems Information for Authors
[IEEE] 2026-2-13 | Vacuum-Packaged 30%-Doped ScAlN Resonators With AlN Absorbers for IR Spectroscopy
[IEEE] 2026-2-13 | CorcPUM++: Enabling Row-Access and Column-Access Cooperation for Fair and Efficient Thread-Level Scientific Computing using Resistive Cross-Point Random-Access Memory
[IEEE] 2026-2-13 | MPA: Lightweight and Updatable Integrity Auditing for Decentralized Storage using Merkle Trees and Polynomial Commitments
[IEEE] 2026-2-13 | A Novel Simultaneous Calibration Method with Radius Constraint for 3D Robot Measurement
[ACM] 2026-2-13 | Proceedings of the conference on Proceedings of the 5th Mile-High Video Conference
[ACM] 2026-2-13 | Implicit Adaptation for Point Cloud Streaming with MoQ
[ACM] 2026-2-13 | The Quest for a Resilient Internet Access in a Constrained Geopolitical Environment
[ACM] 2026-2-13 | Proceedings of the 19th Asian Internet Engineering Conference
[IEEE] 2026-2-13 | Quantum Model: Saving and Reloading Variational Quantum Classifiers
[IEEE] 2026-2-13 | Monitoring Posture to Reduce Back Pain Issues
[IEEE] 2026-2-13 | AI-Driven Sentiment Analysis for Social Media Monitoring
[IEEE] 2026-2-13 | Performance Evaluation of Different Multilevel Inverter Topologies in Renewable Energy Applications
