[2026-05-15 22:54:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-14
正在获取论文...
[arXiv] 2026-05-14 | Aligning Latent Geometry for Spherical Flow Matching in Image Generation
[arXiv] 2026-05-14 | VGGT-Edit: Feed-forward Native 3D Scene Editing with Residual Field Prediction
[arXiv] 2026-05-14 | Is Grep All You Need? How Agent Harnesses Reshape Agentic Search
[arXiv] 2026-05-14 | From Plans to Pixels: Learning to Plan and Orchestrate for Open-Ended Image Editing
[arXiv] 2026-05-14 | Hybrid Sketching Methods for Dynamic Connectivity on Sparse Graphs
[arXiv] 2026-05-14 | Automating Bitvector and Finite Field Equivalence Proofs in Lean
[arXiv] 2026-05-14 | On the Nonexistence of Continuous Immersions for Discrete-time Systems
[arXiv] 2026-05-14 | MeMo: Memory as a Model
[arXiv] 2026-05-14 | Noether symmetries and conservation laws of a class of time-dependent multidimensional nonlinear wave equations
[arXiv] 2026-05-14 | Guises and Perspectives: An Intentional and Hyperintensional Sketch
[arXiv] 2026-05-14 | Creating treatment and component hierarchies in component network meta-analysis
[arXiv] 2026-05-14 | Asymptotically Self-Similar Blowup for 3D Incompressible Euler with $C^{1, 1/3-}$ Velocity II: 3D Profiles, Blowup, and Limiting behavior
[arXiv] 2026-05-14 | Rovibrational structure and electric dipole moments of the AcOCH$_3$+ ion
[arXiv] 2026-05-14 | New approaches to almost i.i.d. information theory
[arXiv] 2026-05-14 | Solutions for Hecke Sum Questions of Banerjee and Bringmann
[arXiv] 2026-05-14 | Dual-Dimensional Consistency: Balancing Budget and Quality in Adaptive Inference-Time Scaling
[arXiv] 2026-05-14 | Impact of stellar population models on the estimated physical properties of galaxies
[arXiv] 2026-05-14 | An inverse problem for inhomogeneous Signorini obstacle
[arXiv] 2026-05-14 | SAGE3D: Soft-guided attention and graph excitation for 3D point cloud corner detection
[arXiv] 2026-05-14 | Transient dynamics of parametric driving for single-electron image current detection in a Paul trap
[arXiv] 2026-05-14 | FaSST: Fast Sparsifying Secondary Transform
[arXiv] 2026-05-14 | From Data to Action: Accelerating Refinery Optimization with AI
[arXiv] 2026-05-14 | Croissant Baker: Metadata Generation for Discoverable, Governable, and Reusable ML Datasets
[arXiv] 2026-05-14 | Deforming the Trail: Baseline Quantum Circuitry for $\text{SU(2)}_k$ Lattice Gauge Theory
[arXiv] 2026-05-14 | Non-crystallographic systems of integers over composition algebras
[arXiv] 2026-05-14 | SOCC-ICP: Semantics-Assisted Odometry based on Occupancy Grids and ICP
[arXiv] 2026-05-14 | The Role of Magnetic Reconnection in Energizing Protons and Heavier Ions at the Heliospheric Current Sheet
[arXiv] 2026-05-14 | The Rényi entropy of the order of a random permutation
[arXiv] 2026-05-14 | LATERN: Test-Time Context-Aware Explainable Video Anomaly Detection
[arXiv] 2026-05-14 | SpeakerLLM: A Speaker-Specialized Audio-LLM for Speaker Understanding and Verification Reasoning
[arXiv] 2026-05-14 | Excitation Flow, Positivity, and Fisher Information for Open Subsystems of an $N$-Qubit Network
[arXiv] 2026-05-14 | AI Knows When It's Being Watched: Functional Strategic Action and Contextual Register Modulation in Large Language Models
[arXiv] 2026-05-14 | Minimal submanifolds confined in space
[arXiv] 2026-05-14 | WARD: Adversarially Robust Defense of Web Agents Against Prompt Injections
[arXiv] 2026-05-14 | A Resource-Driven Framework for Configurable Entanglement in Quantum Networks
[arXiv] 2026-05-14 | Impurity-induced geometric correlations and fractional quantization in quantum Hall systems
[arXiv] 2026-05-14 | Conformal Rigidity of Graphs: Subdifferentials and Orbit-Isometries
[arXiv] 2026-05-14 | Millimeter dust continuum and polarization in protoplanetary disks with scattering: A slab model
[arXiv] 2026-05-14 | The Scientific Contribution Graph: Automated Literature-based Technological Roadmapping at Scale
[arXiv] 2026-05-14 | Refactoring-as-Propositions: Proved Refactoring of Hybrid Systems via Proved Refinements
[arXiv] 2026-05-14 | Towards Gaze-Informed AI Disclosure Interfaces: Eye-Tracking Attentional and Cognitive Load While Reading AI-Assisted News
[arXiv] 2026-05-14 | Predicting Response to Neoadjuvant Chemotherapy in Ovarian Cancer from CT Baseline Using Multi-Loss Deep Learning
[arXiv] 2026-05-14 | Characterizing the visual representation of objects from the child's view
[arXiv] 2026-05-14 | Map2APS: A Physically Grounded Benchmark for Direct Angle Power Spectrum Prediction from Urban Geometry
[arXiv] 2026-05-14 | Compositional Video Generation via Inference-Time Guidance
[arXiv] 2026-05-14 | Pulsar scintillation arcs formed from branched flow
[arXiv] 2026-05-14 | Second-Order Actor-Critic Methods for Discounted MDPs via Policy Hessian Decomposition
[arXiv] 2026-05-14 | MicroscopyMatching: Towards a Ready-to-use Framework for Microscopy Image Analysis in Diverse Conditions
[arXiv] 2026-05-14 | Viverra: Text-to-Code with Guarantees
[arXiv] 2026-05-14 | Denoising Interferometric Observations Using Visibilities-Informed Neural Networks
