[2026-06-01 23:27:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-31
正在获取论文...
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[ACM] 2026-6-1 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
[ACM] 2026-6-1 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
[ACM] 2026-6-1 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
[ACM] 2026-6-1 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
[ACM] 2026-6-1 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
[ACM] 2026-6-1 | Toward Intelligent Wearables: Sensing, Interaction, and LLM EDA Automation
[ACM] 2026-6-1 | Towards Trustworthy AIoT Systems: An Interaction-Centric Perspective
[ACM] 2026-6-1 | Toward Practical Integrated Sensing and Communication upon Commodity Wi-Fi
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[IEEE] 2026-6-1 | Split Learning-Enabled Framework for Secure and Lightweight Internet of Medical Things Systems
[IEEE] 2026-6-1 | On-Orbit SWIR Imagery MTF Compensation for the Geology-1 Satellite Using Cross-Spectral Structural Priors
[IEEE] 2026-6-1 | Semantic Noise Decomposition and Saliency-Weighted Mutual Information in Task-Oriented Communication
[IEEE] 2026-6-1 | Periodically Poled Piezoelectric Lithium Niobate Resonator for Piezoelectric Power Conversion
[IEEE] 2026-6-1 | Author Index
[IEEE] 2026-6-1 | A Holistic Remote Fork Strategy Toward Fast Function Scaling in Serverless Edge Computing
[IEEE] 2026-6-1 | Coupled Phase-Shift STAR-RIS Enabled Integrated Over-the-Air Computation and Communications
[IEEE] 2026-6-1 | Machine Learning Pipelines for Image-based Classification of Rice Grain Varieties: A Systematic Literature Review
[IEEE] 2026-6-1 | TransFM: Visible-to-Infrared Image Translation via Flow Matching
[IEEE] 2026-6-1 | An Agentic System for Schema Aware NL2SQL Generation
[IEEE] 2026-6-1 | Comprehensive Multi-View Clustering via Low-Dimensional Subspace Representation
[IEEE] 2026-6-1 | TCSC: Time-Consistent Synchronization and Completion for Bridging the Temporal Sim-to-Real Gap in Embodied Intelligence
[IEEE] 2026-6-1 | Decentralized Resilient Synchronization for Cyber-Physical Microgrids with FDI Attacks and Uncertainties
[IEEE] 2026-6-1 | Testing Method for Language Model Evaluation: A Case Study on a Localized Question Bank
[IEEE] 2026-6-1 | High-fidelity 3D reconstruction for planetary exploration
[IEEE] 2026-6-1 | The Potential of Thermal Sand Based Storage for Renewables in Saudi Arabia
[IEEE] 2026-6-1 | Blockchain and Ai for Smart Cities Energy Systems
[IEEE] 2026-6-1 | Graph Neural Networks for Class Imbalance Learning and Detecting Fraud Transactions
[IEEE] 2026-6-1 | Profitability and Cost-Effectiveness Analysis of Wireless and Conductive Charging Infrastructure for Autonomous Fleets: Insights From Real-World Data
