[2026-06-14 23:09:47] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-13
正在获取论文...
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[ACM] 2026-6-13 | How Older Adults Enact Values Through Technology
[ACM] 2026-6-13 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
[ACM] 2026-6-13 | Human Experience in AI-Mediated Worlds
[ACM] 2026-6-14 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
[ACM] 2026-6-13 | A Processual Model of Artifact-Mediated Controversy in Public Speculative Design
[ACM] 2026-6-13 | The Matter of Making: Designing Embodied Interaction Tools for Visual Creation with Generative AI
[ACM] 2026-6-13 | Wolfborn: Silent Emotional Catharsis and Empathy via Pseudo-Vocalized Embodiment
[ACM] 2026-6-13 | From Guided Tours to BYOD Self-Guides in Living Heritage: A Service Design Framework and Longitudinal Field Deployment
[ACM] 2026-6-13 | When Acceptance Doesn’t Travel: Measurement (Non-)Invariance in Acceptance Models of AI Assistants for Privacy Management
[ACM] 2026-6-13 | Reinforcement Learning-Based Clustered Multi-Application Charging Optimization for Underwater Wireless Sensor Networks
[ACM] 2026-6-13 | Cluster-wise Analysis of 3D Gaussian Splatting Point Clouds Using Spherical Harmonics and Attribute Features
[ACM] 2026-6-13 | Performance Estimation of IPFS-based Distributed Storage Using Idle Computing Resources and Secret Sharing
[ACM] 2026-6-13 | Physio-Digital Twin for Human-Centered IoT Mobility: A Proof-of-Concept Implementation on the E-Bike Platform
[ACM] 2026-6-13 | Personal 3D Printing without Visual Dependency in the Generative AI Era: Opportunities and Challenges
[ACM] 2026-6-13 | Fovy: Spatializing the "Work-to-Learn" Ecology through Interactive Skill Topologies
[ACM] 2026-6-13 | Empathy Illusion: Behavioral Contingency and the Feeling of Being Understood in AI-Responsive Spaces
[ACM] 2026-6-13 | Can Robots Be Azatoi?: Designing Calculatedly Cute Social Robot Behaviors through Cross-Cultural Participatory Visualization
[ACM] 2026-6-13 | Analysis and Optimization of Leakage Magnetic Field Shielding for Wireless Charging of Electronic Gadgets
[ACM] 2026-6-13 | Artificial Intelligence (AI) Adoption in Higher Education: A New Perspective, AI Adoption Concern, and Influences of AI Characteristics
[ACM] 2026-6-13 | Virtual Ambidextrous Hand Control: An Interaction Framework for Amplified Bimanual Coordination in Virtual Reality
[ACM] 2026-6-13 | Sensing Wishlists: A Prospective Design Approach to the Making of Fashion Consumption Technologies
[ACM] 2026-6-13 | Yuno: Augmenting Human Memory in Social Contexts Through Real-Time Face Recognition and Contextual Recall
[ACM] 2026-6-13 | Geometry-Driven Triangulation and Differentiable Semantic Gaussian Refinement for 3D Grape Bunch Model Reconstruction in the Field
[ACM] 2026-6-13 | All-Weather Image Restoration with MobileViT and Multi-Scale FiLM Modulation
[ACM] 2026-6-13 | RoomAuth: Learned Ultrasonic Room Identity for Context-Aware Authentication
[ACM] 2026-6-13 | Optimal Control Policy for Dynamic Thread Pool Sizing in Time-Constrained Batch Workloads
[ACM] 2026-6-13 | RepoGuard: Harmonising Security and Functional Correctness in LLM-Guided Repository-Level Code Generation
[ACM] 2026-6-13 | Picnic: Playful Music-Making with Everyday Objects and Machine Learning
[ACM] 2026-6-13 | Splash into Bubbles: Designing Somatic Immersion for Sleep Onset through Progressive Sensory Fading
[ACM] 2026-6-13 | Designing Multimodal XR Systems for Enhancing Remote Social Connectedness and   Emotional Well-Being in Older Adults
[ACM] 2026-6-13 | Chasing Play Potentials in Place for Innovative Mobile Crowdsensing
[ACM] 2026-6-13 | Humanoid and Socially Assistive Robots in Mental Health Care: A PRISMA Guided Systematic Review of Therapeutic and Emotional Outcomes (2021C2025)
[ACM] 2026-6-13 | Comparative Analysis of Machine Learning Models for Detecting Stego Image: A Steganalysis Approach
[ACM] 2026-6-13 | An Explainable Feature-Embedded ML &amp; DL Pipeline for Breast Cancer Classification with XAI (SHAP and LIME)
[ACM] 2026-6-13 | Efficient Video-to-Audio Generation via Multiple Foundation Models Mapper
[ACM] 2026-6-14 | Automated In-the-Wild Data Collection for Continual AI Generated Image Detection
[ACM] 2026-6-13 | The Cosmogenic Relation: From Interaction to World-Conditioning
[ACM] 2026-6-13 | Sufi Poetry and Introspection with Generative Verse
[ACM] 2026-6-13 | Pixellated Identity: A Child-Centered Frictional Encounter with GenAI
[ACM] 2026-6-13 | Beyond Interfaces: the Future of Edible Interactions
[ACM] 2026-6-13 | Interactive Rehab Carpet: A Dual-Sensing Modular Floor for Gamified Pediatric Rehabilitation
[ACM] 2026-6-13 | Human-Centered AI for Expressive Arts Therapy: Designing for Mental Well-Being and Creativity
[ACM] 2026-6-13 | CALICE: Continuous bitrate control with Adapted LIC modEl
[ACM] 2026-6-13 | Healthcare information collection from evacuation shelters during disasters using NAMI—narrow area communication system
[ACM] 2026-6-13 | Evaluation of Apparel Feature Reproduction in Text-to-Image Generation for Clothing Design Assistance
[ACM] 2026-6-13 | Toward EEG-Based Characterization of Cognitive Coordination in Collaborative Software Implementation: A Pilot Study
[ACM] 2026-6-14 | Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?
[ACM] 2026-6-13 | DiaryContainer: Designing Slowness and Minimal Presence in Reflective Journaling
[ACM] 2026-6-13 | Heartbeats in Motion: Co-Designing Wearables for Healthy Ageing
[ACM] 2026-6-13 | From Voting to Veto: GenAI Placemaking under Accountability
[ACM] 2026-6-13 | Sentence to Scent: A Computational Pipeline Transforming NLP into Scent Sequence
[ACM] 2026-6-13 | Structured Interpretation Differences in Immersive Artworks
[ACM] 2026-6-13 | EchoMemo: A Proactive AI Digital Persona Device
[ACM] 2026-6-13 | Let's Get Talking: A Conversational Card Game to Engage Men in Infertility Dialogue
[ACM] 2026-6-13 | Body Through Time: A process of one's Inner Healing
[ACM] 2026-6-13 | You and Your Teacher Identity: Strengthening teacher identity to elevate teaching presence in online classrooms
[ACM] 2026-6-13 | Proceedings of the 2026 9th International Conference on Information and Computer Technologies
[ACM] 2026-6-13 | The Case for Repeatable, Open, and Expert-Grounded Hallucination Benchmarks in Large Language Models
[ACM] 2026-6-13 | Ebbinghaus Forgetting Curve and Large Language Model Memory Management: A Cognitive Science-Driven Long-Context Enhancement Framework Design and Prospects
[ACM] 2026-6-13 | Using Extraction and Evaluation of Explanations for Drug-Repurposing on Knowledge Graphs
[ACM] 2026-6-14 | Detecting Audio-Text Decontextualization through Entailment and Semantic Analysis
[ACM] 2026-6-13 | Margin: A Set of Lightweight Robots for Intervening in Child Dark Phobia via Embodied Interaction in Darkness
[ACM] 2026-6-13 | Turn on the Flashlight: Revealing a Full Picture of Modified Tricycles in Food   Streets
[ACM] 2026-6-13 | Becoming a Tree: Digital-Avatar VR Body Scan for the Menopausal Transition
[ACM] 2026-6-13 | RecallMe: Designing a Rotary Phone Artifact for Immersive Reflection with the Past Self
[ACM] 2026-6-13 | Designing Sound Interactions in Spaces
[ACM] 2026-6-13 | When Drawing Is Not Enough: Exploring Spontaneous Speech with Sketch for Intent Alignment in Multimodal LLMs
[ACM] 2026-6-13 | The Whispering Interface: Intuition as a Resonance Space Between Human and World – A Speculative Critique of Contemporary Interface Paradigms
[ACM] 2026-6-14 | Hidden in Plain Sight: Occlusion Edge Blur as a Perceptual Blind Spot in Multimodal LLMs
[ACM] 2026-6-13 | High Awareness, Persistent Vulnerability: Youth Cybersecurity Risk Perception and Behavior
[ACM] 2026-6-13 | Beyond Recognition: A Hybrid Semantic-Vision Framework for Intent-Aware Gesture Recognition on Pepper in Dementia Care
[ACM] 2026-6-13 | Trust Deviation Metrics (TDM) for AI-Driven Cloud Orchestration
[ACM] 2026-6-13 | Intelligent Detection and Response System for Attacks on Unmanned Aerial Vehicles Based on Hybrid AI Models
[ACM] 2026-6-13 | A Proposal of a Two-Part Lead Sentence Generation Method for Manuals Using Large Language Models
[ACM] 2026-6-13 | Reimagining Digital Grievance Redressal Systems for Better Participatory Governance In India
[ACM] 2026-6-13 | Dream Brush: Generative Painting with Chinese Calligraphy
[ACM] 2026-6-13 | AttentionGo: Designing Tangible Neurofeedback Tools for Children with ADHD through a Holistic Well-being Lens
[ACM] 2026-6-13 | "Like a shadow": Deconstructing How Anti-TFSV Activists in South Korea Fill Data Stewardship Gaps through Emotional Labor
[ACM] 2026-6-13 | Acts of Configuration: Rethinking Provenance, Temporality and Legitimacy in Post-Mortem Agents
[ACM] 2026-6-13 | AID: Lightweight Disassembly via Learning-Superset-Learning-Recursive Algorithm
[ACM] 2026-6-13 | AR-FedKD: A Robust Federated Knowledge Distillation Framework with Performance-Aware Adaptive Differential Privacy
